row_label_raw,row_label_full,col_0,Kinh doanh chuyển nhượng bất động sản,Kinh doanh cho thuế bất động sản đầu tư và các dịch vụ liên quan,"Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",Kinh doanh dịch vụ bệnh viện và các dịch vụ liên quan,Kinh doanh dịch vụ giáo dục và các dịch vụ liên quan,Kinh doanh dịch vụ bán lẻ,Hoạt động kinh doanh khác,Điều chính và loại trừ,Tổng cộng,numeric__Kinh doanh chuyển nhượng bất động sản,numeric__Kinh doanh cho thuế bất động sản đầu tư và các dịch vụ liên quan,"numeric__Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",numeric__Kinh doanh dịch vụ bệnh viện và các dịch vụ liên quan,numeric__Kinh doanh dịch vụ giáo dục và các dịch vụ liên quan,numeric__Kinh doanh dịch vụ bán lẻ,numeric__Hoạt động kinh doanh khác,numeric__Điều chính và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,37.295.758.090.569,3.321.913.007.632,4.256.597.378.984,1.092.565.847.858,712.567.649.695,9.247.730.309.731,1.687.211.381.425,-,57.614.343.665.894,37295758090569.0,3321913007632.0,4256597378984.0,1092565847858.0,712567649695.0,9247730309731.0,1687211381425.0,,57614343665894.0
Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần > Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần giữa các bộ phận (1),-,901.439.299.855,426.286.861.150,19.522.698.400,5.243.000.000,6.450.072.536.958,8.113.801.056.318,(15.916.365.452.681),-,,901439299855.0,426286861150.0,19522698400.0,5243000000.0,6450072536958.0,8113801056318.0,-15916365452681.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,37.295.758.090.569,4.223.352.307.487,4.682.884.240.134,1.112.088.546.258,717.810.649.695,15.697.802.846.689,9.801.012.437.743,(15.916.365.452.681),57.614.343.665.894,37295758090569.0,4223352307487.0,4682884240134.0,1112088546258.0,717810649695.0,15697802846689.0,9801012437743.0,-15916365452681.0,57614343665894.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,
Khấu hao và hao mòn,Kết quả hoạt động kinh doanh > Khấu hao và hao mòn,Khấu hao và hao mòn,897.218.500.471,635.630.276.769,644.046.977.703,255.036.932.501,16.240.740.587,759.827.039.410,134.835.563.982,-,3.342.836.031.423,897218500471.0,635630276769.0,644046977703.0,255036932501.0,16240740587.0,759827039410.0,134835563982.0,,3342836031423.0
Phần được chia tử tãi/(lỗ) của công ty liên kết,Kết quả hoạt động kinh doanh > Phần được chia tử tãi/(lỗ) của công ty liên kết,Phần được chia tử tãi/(lỗ) của công ty liên kết,33.852.809.888,-,809.055.877,-,-,(11.599.836.920),(3.238.440.105),-,19.823.588.740,33852809888.0,,809055877.0,,,-11599836920.0,-3238440105.0,,19823588740.0
Thu nhập/(lỗ) trước thuế theo bộ phận (2),Kết quả hoạt động kinh doanh > Thu nhập/(lỗ) trước thuế theo bộ phận (2),Thu nhập/(lỗ) trước thuế theo bộ phận (2),9.244.759.500.607,1.778.967.661.151,(1.213.476.245.682),(336.058.880.998),86.363.582.864,(3.132.380.131.984),1.968.039.420.197,(2.603.455.939.777),5.792.758.966.378,9244759500607.0,1778967661151.0,-1213476245682.0,-336058880998.0,86363582864.0,-3132380131984.0,1968039420197.0,-2603455939777.0,5792758966378.0
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Đầu tư vào công ty liên kết,Tài sản > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,-,-,572.402.043.444,-,-,47.654.104.725,1.108.753.102.823,-,1.728.809.250.992,,,572402043444.0,,,47654104725.0,1108753102823.0,,1728809250992.0
Chi phí vốn tăng trong năm,Tài sản > Chi phí vốn tăng trong năm,Chi phí vốn tăng trong năm,9.459.436.474.780,10.490.410.026.319,2.588.774.665.668,1.317.754.651.568,7.937.460.151,1.303.484.639.265,1.257.298.336.245,-,26.425.096.253.996,9459436474780.0,10490410026319.0,2588774665668.0,1317754651568.0,7937460151.0,1303484639265.0,1257298336245.0,,26425096253996.0
Tổng tài sản (3),Tài sản > Tổng tài sản (3),Tổng tài sản (3),96.972.199.224.819,34.999.272.075.263,17.710.593.265.940,4.049.820.830.101,473.858.284.579,11.954.387.982.050,3.801.190.544.771,10.489.527.486.271,180.450.849.693.794,96972199224819.0,34999272075263.0,17710593265940.0,4049820830101.0,473858284579.0,11954387982050.0,3801190544771.0,10489527486271.0,180450849693794.0
Tổng nợ phải trả (4),Tài sản > Tổng nợ phải trả (4),Tổng nợ phải trả (4),70.102.442.562.452,1.515.057.108.910,9.423.202.768.667,371.318.300.784,438.722.898.217,2.800.853.242.765,1.458.757.307.076,49.074.100.600.340,135.184.454.789.211,70102442562452.0,1515057108910.0,9423202768667.0,371318300784.0,438722898217.0,2800853242765.0,1458757307076.0,49074100600340.0,135184454789211.0
