row_label_raw,row_label_full,Mã số,CHỈ TIÊU > BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,Ngày 31 tháng 12 năm 2015 (Đã được trình bày trước đây) > BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,Trình bày lại > BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,Ngày 31 tháng 12 năm 2015 (Dược trình bày lại) > BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,numeric__CHỈ TIÊU > BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,numeric__BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,numeric__Ngày 31 tháng 12 năm 2015 (Đã được trình bày trước đây) > BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,numeric__Trình bày lại > BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,numeric__Ngày 31 tháng 12 năm 2015 (Dược trình bày lại) > BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT
131,131,131,Phải thu ngắn hạn của khách hàng,(3),2.438.800.372.894,93.448.998.244,2.532.249.371.138,,-3.0,2438800372894.0,93448998244.0,2532249371138.0
136,136,136,Phải thu ngắn hạn khác,(3),3.165.754.530.947,(93.448.998.244),3.072.305.532.703,,-3.0,3165754530947.0,-93448998244.0,3072305532703.0
227,227,227,Tài sản cố định vô hình,(1),649.061.296.920,73.743.556.103,722.804.853.023,,-1.0,649061296920.0,73743556103.0,722804853023.0
228,228,228,Nguyên giá,(1),789.293.394.723,75.942.351.284,865.235.746.007,,-1.0,789293394723.0,75942351284.0,865235746007.0
229,229,229,Giá trị hao mòn lũy kế,(1),(140.232.097.803),(2.198.795.181),(142.430.892.984),,-1.0,-140232097803.0,-2198795181.0,-142430892984.0
269,269,269,Lợi thế thương mại,"(1),(2)",8.628.752.138.992,(14.058.582.347),8.614.693.556.645,,,8628752138992.0,-14058582347.0,8614693556645.0
311,311,311,Phải trả người bán ngắn hạn,"(2),(4)",4.578.748.195.301,1.134.024.441.363,5.712.772.636.664,,,4578748195301.0,1134024441363.0,5712772636664.0
319,319,319,Phải trả ngắn hạn khác,(4),28.554.146.031.679,(1.082.421.151.363),27.471.724.880.316,,-4.0,28554146031679.0,-1082421151363.0,27471724880316.0
421,421,421,Lợi nhuận sau thuế chưa phân phối,(1),1.601.415.502.116,(30.225.052.675),1.571.190.449.441,,-1.0,1601415502116.0,-30225052675.0,1571190449441.0
429,429,429,Lợi ích của cổ đông không kiểm soát,"(1),(2)",14.441.898.336.167,38.306.736.431,14.480.205.072.598,,,14441898336167.0,38306736431.0,14480205072598.0
