row_label_raw,row_label_full,STT,Tên công ty,Tên viết tắt,Tỷ lệ biểu quyết (%),Tỷ lệ loi ích (%),Trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tên viết tắt,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ loi ích (%),numeric__Trụ sở chính,numeric__Hoạt động chính
12,12,12,Công ty Cổ phần Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia,Công ty Hoàng Gia,"97,85","97,85","Số 72A, Nguyễn Trãi, phường Thượng Đình, quận Thanh Xuân, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,97.85,97.85,,
13,13,13,Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty Nam Hà Nội,"98,90","98,90","Số 458 phố Minh Khai, phường Vĩnh Tuy, quận Hai Bà Trưng, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,98.9,98.9,,
14,14,14,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty Sài Đồng,"94,00","94,00",Khu Đô thị Sinh thái Vinhomes Riverside (1),"Đầu tư, xây dựng và kinh doanh bất động sản",,,94.0,94.0,,
15,15,15,Công ty Cổ phần Bất động sản Xavinco,Công ty Xavinco,"96,44","96,42","Số 191 Bà Triệu, phường Lê Đại Hành, quận Hai Bà Trưng, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,96.44,96.42,,
16,16,16,Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Công ty Tân Liên Phát,"80,00","79,77","Số 72 Lê Thánh Tôn, phường Bến Nghé, quận 1, TP Hồ Chí Minh","Đầu tư, xây dựng và kinh doanh bất động sản",,,80.0,79.77,,
17,17,17,Công ty TNHH Xalivico,Công ty Xalivico,"74,00","71,35","233 Nguyễn Trãi, phường Thượng Đình, quận Thanh Xuân, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,74.0,71.35,,
18,18,18,Công ty Cổ phần Trung tâm Hội chợ Triển lăm Việt Nam,Công ty Triển lăm Việt Nam,"83,32","83,32","148 đường Giảng Võ, phường Giảng Võ, quận Ba Đình, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,83.32,83.32,,
19,19,19,Công ty Cổ phần đầu tư kinh doanh và phát triển đô thị Ngôi Sao Phương Nam,Công ty Ngôi Sao Phương Nam,"100,00","99,99","Số 72 Lê Thánh Tôn, phường Bến Nghé, quận 1, TP Hồ Chí Minh","Đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,99.99,,
20,20,20,Công ty TNHH kinh doanh thương mại dịch vụ Hoa Mai,Công ty Hoa Mai,"74,00","74,00","Số 72 Lê Thánh Tôn, phường Bến Nghé, quận 1, TP Hồ Chí Minh, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,,74.0,74.0,,
21,21,21,Công ty Cổ phần Phát triển thể thao và giải trí Mễ Trì,Công ty Mễ Trì,"99,00","99,93","Số 7 Đại Lộ Thăng Long, phường Mễ Trì, quận Nam Từ Liêm, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,99.0,99.93,,
22,22,22,Công ty TNHH Metropolis Hà Nội,Công ty Metropolis Hà Nội,"100,00","50,07","Lô đất HH, đường Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,50.07,,
