row_label_raw,row_label_full,col_0,Số đầu năm,Số phát sinh trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phát sinh trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,643.176.298.743,3.084.299.205.407,(3.208.330.051.146),519.145.453.004,643176298743.0,3084299205407.0,-3208330051146.0,519145453004.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,661.166.354.957,2.882.956.656.854,(2.264.690.777.810),1.279.432.234.001,661166354957.0,2882956656854.0,-2264690777810.0,1279432234001.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,53.076.285.062,596.966.340.702,(584.087.241.274),65.955.384.490,53076285062.0,596966340702.0,-584087241274.0,65955384490.0
Tiền sử dụng đất và tiền thuê đất phải nộp,Phải nộp > Tiền sử dụng đất và tiền thuê đất phải nộp,Tiền sử dụng đất và tiền thuê đất phải nộp,170.609.765.250,8.153.766.124.881,(2.849.847.242.530),5.474.528.647.601,170609765250.0,8153766124881.0,-2849847242530.0,5474528647601.0
Thuế nhà thầu phải nộp từ giáo dịch nhận chuyển nhượng cổ phần,Phải nộp > Thuế nhà thầu phải nộp từ giáo dịch nhận chuyển nhượng cổ phần,Thuế nhà thầu phải nộp từ giáo dịch nhận chuyển nhượng cổ phần,112.752.577.813,-,(112.752.577.813),-,112752577813.0,,-112752577813.0,
Thuế và các khoản phải nộp nhà nước khác,Phải nộp > Thuế và các khoản phải nộp nhà nước khác,Thuế và các khoản phải nộp nhà nước khác,37.619.946.544,7.325.606.081,(17.460.337.980),27.485.214.645,37619946544.0,7325606081.0,-17460337980.0,27485214645.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,1.678.401.228.369,14.725.313.933.925,(9.037.168.228.553),7.366.546.933.741,1678401228369.0,14725313933925.0,-9037168228553.0,7366546933741.0
,,,Số đầu năm,Số phát sinh trong năm,Số đã thu trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp nộp thừa,Phải thu > Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,18.430.364.745,29.543.342.122,(2.923.154.643),45.050.552.224,18430364745.0,29543342122.0,-2923154643.0,45050552224.0
Thuế và các khoản phải thu nhà nước khác,Phải thu > Thuế và các khoản phải thu nhà nước khác,Thuế và các khoản phải thu nhà nước khác,4.620.520.334,61.786.462.850,-,66.406.983.184,4620520334.0,61786462850.0,,66406983184.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,23.050.885.079,91.329.804.972,(2.923.154.643),111.457.535.408,23050885079.0,91329804972.0,-2923154643.0,111457535408.0
