row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2015,Chuyển từ công ty con,Đầu tư tăng thêm trong năm,Phân chia lãi(lỗ) từ các công ty liên kết,Suy giảm giá trị khoản đầu tư,Thanh lý đầu tư trong năm,Chuyển thành công ty con,Ngày 31 tháng 12 năm 2016,numeric__Ngày 31 tháng 12 năm 2015,numeric__Chuyển từ công ty con,numeric__Đầu tư tăng thêm trong năm,numeric__Phân chia lãi(lỗ) từ các công ty liên kết,numeric__Suy giảm giá trị khoản đầu tư,numeric__Thanh lý đầu tư trong năm,numeric__Chuyển thành công ty con,numeric__Ngày 31 tháng 12 năm 2016
Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành (i),Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành (i),Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành (i),-,1.042.557.225.447,-,(3.777.938.525),(805.779.509.476),-,-,232.999.777.446,,1042557225447.0,,-3777938525.0,-805779509476.0,,,232999777446.0
Công ty Cổ phần nước sạch Vinaconex (v),Công ty Cổ phần nước sạch Vinaconex (v),Công ty Cổ phần nước sạch Vinaconex (v),-,-,872.000.000.000,488.610.366,-,-,-,872.488.610.366,,,872000000000.0,488610366.0,,,,872488610366.0
Công ty Du lịch Phú Quốc (vi),Công ty Du lịch Phú Quốc (vi),Công ty Du lịch Phú Quốc (vi),-,492.139.241.524,-,-,-,-,-,492.139.241.524,,492139241524.0,,,,,,492139241524.0
Công ty Cổ phần Cảng Nha Trang (viii),Công ty Cổ phần Cảng Nha Trang (viii),Công ty Cổ phần Cảng Nha Trang (viii),89.924.078.544,-,-,814.678.099,-,(10.475.954.723),-,80.262.801.920,89924078544.0,,,814678099.0,,-10475954723.0,,80262801920.0
Công ty Cổ phần Giống vật nuôi Hà Nội,Công ty Cổ phần Giống vật nuôi Hà Nội,Công ty Cổ phần Giống vật nuôi Hà Nội,47.404.859.687,-,5.622.222,243.622.816,-,-,-,47.654.104.725,47404859687.0,,5622222.0,243622816.0,,,,47654104725.0
Công ty Cổ phần In sách Việt Nam (ii),Công ty Cổ phần In sách Việt Nam (ii),Công ty Cổ phần In sách Việt Nam (ii),-,-,3.239.919.511,24.795.500,-,-,-,3.264.715.011,,,3239919511.0,24795500.0,,,,3264715011.0
Công ty Cần Giờ (Thuyết minh số 4.1),Công ty Cần Giờ (Thuyết minh số 4.1),Công ty Cần Giờ (Thuyết minh số 4.1),4.798.892.080.000,-,-,19.314.563.531,-,-,(4.818.206.643.531),-,4798892080000.0,,,19314563531.0,,,-4818206643531.0,
Công ty Thành phố xanh (Thuyết minh số 4.1),Công ty Thành phố xanh (Thuyết minh số 4.1),Công ty Thành phố xanh (Thuyết minh số 4.1),979.672.327.325,-,-,256.911.502,-,-,(979.929.238.827),-,979672327325.0,,,256911502.0,,,-979929238827.0,
Công ty BDS Thăng Long (Thuyết minh số 4.1),Công ty BDS Thăng Long (Thuyết minh số 4.1),Công ty BDS Thăng Long (Thuyết minh số 4.1),171.306.421.130,-,-,896.256.233,-,-,(172.202.677.363),-,171306421130.0,,,896256233.0,,,-172202677363.0,
Công ty Cổ phần Phú Hữu Gia (i),Công ty Cổ phần Phú Hữu Gia (i),Công ty Cổ phần Phú Hữu Gia (i),-,-,118.680.000.000,(45.649.336),-,(118.634.350.664),-,-,,,118680000000.0,-45649336.0,,-118634350664.0,,
Công ty Cổ phần Thời trang M.Y.M (iv),Công ty Cổ phần Thời trang M.Y.M (iv),Công ty Cổ phần Thời trang M.Y.M (iv),81.600.013.951,-,-,(11.849.081.958),-,(69.750.931.993),-,-,81600013951.0,,,-11849081958.0,,-69750931993.0,,
Công ty Cổ phần Bê tông Ngoại thương (vii),Công ty Cổ phần Bê tông Ngoại thương (vii),Công ty Cổ phần Bê tông Ngoại thương (vii),24.410.420.502,-,-,2.012.411.588,-,(26.422.832.090),-,-,24410420502.0,,,2012411588.0,,-26422832090.0,,
Công ty Cổ phần Nông Lâm nghiệp Trường Thành (i),Công ty Cổ phần Nông Lâm nghiệp Trường Thành (i),Công ty Cổ phần Nông Lâm nghiệp Trường Thành (i),-,-,23.525.000.000,(188.244),-,(23.524.811.756),-,-,,,23525000000.0,-188244.0,,-23524811756.0,,
Công ty Cổ phần Bao bì Trường Thành (i),Công ty Cổ phần Bao bì Trường Thành (i),Công ty Cổ phần Bao bì Trường Thành (i),-,-,2.000.000.000,(10.845.745),-,(1.989.154.255),-,-,,,2000000000.0,-10845745.0,,-1989154255.0,,
Công ty TNHH Trồng rừng Trường Thành OJI (i),Công ty TNHH Trồng rừng Trường Thành OJI (i),Công ty TNHH Trồng rừng Trường Thành OJI (i),-,-,94.930.473.000,82.775.879,-,(95.013.248.879),-,-,,,94930473000.0,82775879.0,,-95013248879.0,,
Công ty TNHH Đầu tư Phát triển Đô thị Ngọc Viễn Đông (iii),Công ty TNHH Đầu tư Phát triển Đô thị Ngọc Viễn Đông (iii),Công ty TNHH Đầu tư Phát triển Đô thị Ngọc Viễn Đông (iii),522.327.960.907,-,-,11.372.667.034,-,(533.700.627.941),-,-,522327960907.0,,,11372667034.0,,-533700627941.0,,
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,6.715.538.162.046,1.534.696.466.971,1.114.381.014.733,19.823.588.740,(805.779.509.476),(879.511.912.301),(5.970.338.559.721),1.728.809.250.992,6715538162046.0,1534696466971.0,1114381014733.0,19823588740.0,-805779509476.0,-879511912301.0,-5970338559721.0,1728809250992.0
