row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí bán hàng liên quan đến các căn hộchưa bàn giao,Ngắn hạn: > Chi phí bán hàng liên quan đến các căn hộchưa bàn giao,Chi phí bán hàng liên quan đến các căn hộchưa bàn giao,1.718.749.696.667,1.141.536.744.894,1718749696667.0,1141536744894.0
Trả trước lợi nhuận cam kết theo Hợp đồnghợp tác kinh doanh và chương trình quản lýbiệt thụ,Ngắn hạn: > Trả trước lợi nhuận cam kết theo Hợp đồnghợp tác kinh doanh và chương trình quản lýbiệt thụ,Trả trước lợi nhuận cam kết theo Hợp đồnghợp tác kinh doanh và chương trình quản lýbiệt thụ,639.882.103.856,-,639882103856.0,
"Chi phí đồ dùng, dụng cụ","Ngắn hạn: > Chi phí đồ dùng, dụng cụ","Chi phí đồ dùng, dụng cụ",100.963.377.103,102.913.017.914,100963377103.0,102913017914.0
Chi phí lãi vay trả trước,Ngắn hạn: > Chi phí lãi vay trả trước,Chi phí lãi vay trả trước,45.141.308.506,23.446.929.828,45141308506.0,23446929828.0
Chi phí thuế thu nhập doanh nghiệp tạm tính,Ngắn hạn: > Chi phí thuế thu nhập doanh nghiệp tạm tính,Chi phí thuế thu nhập doanh nghiệp tạm tính,498.649.303.769,207.807.092.577,498649303769.0,207807092577.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn: > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,119.638.923.255,72.325.615.988,119638923255.0,72325615988.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,3.123.024.713.156,1.548.029.401.201,3123024713156.0,1548029401201.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Chi phí thuê đất trả trước,Dài hạn: > Chi phí thuê đất trả trước,Chi phí thuê đất trả trước,852.344.458.259,163.520.735.608,852344458259.0,163520735608.0
Chi phí sửa chữa lớn,Dài hạn: > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,53.579.631.482,37.798.336.027,53579631482.0,37798336027.0
"Chi phí công cụ, dụng cụ","Dài hạn: > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",1.137.285.673.676,1.018.070.710.745,1137285673676.0,1018070710745.0
Chi phí trước hoạt động,Dài hạn: > Chi phí trước hoạt động,Chi phí trước hoạt động,38.374.812.090,106.227.531.032,38374812090.0,106227531032.0
Chi phí thuế mặt bằng siêu thị trả trước,Dài hạn: > Chi phí thuế mặt bằng siêu thị trả trước,Chi phí thuế mặt bằng siêu thị trả trước,6.343.035.371,36.999.995.943,6343035371.0,36999995943.0
Chi phí trả trước dài hạn khác,Dài hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,164.784.122.282,75.278.841.194,164784122282.0,75278841194.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,2.252.711.733.160,1.437.896.150.549,2252711733160.0,1437896150549.0
