row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),Môi quan hệ > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),Số cuối năm VND > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),Số đầu năm VND > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),numeric__Môi quan hệ > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm VND > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),numeric__Số đầu năm VND > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1)
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Phải thu chi phí xây dựng,5.825.479.978,68.893.191.610,,,5825479978.0,68893191610.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Chi phí khám chữa bệnh phải thu,2.960.585.919,1.056.070.017,,,2960585919.0,1056070017.0
Thành viên quản lý chủ chốt,Thành viên quản lý chủ chốt,Thành viên quản lý chủ chốt,Thành viên quản lý chủ chốt,Phải thu từ bán biệt thư,2.533.193.598,-,,,2533193598.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Phí dịch vụ phải thu,-,6.767.914.218,,,,6767914218.0
,,,,,11.319.259.495,76.717.175.845,,,11319259495.0,76717175845.0
Trà trước cho người bán,Trà trước cho người bán,Trà trước cho người bán,Trà trước cho người bán,Trà trước cho người bán,Trà trước cho người bán,Trà trước cho người bán,,,,
Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Trà trước cho người bán > Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty liên kết (từ ngày 30 tháng 11 năm 2016),Tạm ứng cung cấp gỗ,17.538.001.271,-,,,17538001271.0,
Các bên liên quan khác,Trà trước cho người bán > Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Tạm ứng khác,1.213.992.000,-,,,1213992000.0,
,,,,,18.751.993.271,-,,,18751993271.0,
Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),,,,
Công ty BDS Thăng Long,Phải thu về cho vay (Thuyết minh số 8) > Công ty BDS Thăng Long,Công ty BDS Thăng Long,Công ty liên kết (đến ngày 29 tháng 12 năm 2016),Cho vay ngắn hạn,-,55.204.181.818,,,,55204181818.0
Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Phải thu về cho vay (Thuyết minh số 8) > Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty liên kết (từ ngày 30 tháng 11 năm 2016),Cho vay ngắn hạn,1.367.725.527.787,-,,,1367725527787.0,
,,,,,1.367.725.527.787,55.204.181.818,,,1367725527787.0,55204181818.0
Phải thu khác (Thuyết minh số 9),Phải thu khác (Thuyết minh số 9),Phải thu khác (Thuyết minh số 9),Phải thu khác (Thuyết minh số 9),Phải thu khác (Thuyết minh số 9),Phải thu khác (Thuyết minh số 9),Phải thu khác (Thuyết minh số 9),,,,
Quỹ Thiện Tâm,Phải thu khác (Thuyết minh số 9) > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Phải thu chi phí từ thiện,1.066.579.317,5.526.579.317,,,1066579317.0,5526579317.0
Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Phải thu khác (Thuyết minh số 9) > Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty liên kết (từ ngày 30 tháng 11 năm 2016),Phải thu lãi vay,8.284.768.374,-,,,8284768374.0,
Các bên liên quan khác,Phải thu khác (Thuyết minh số 9) > Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Phải thu khác,-,5.432.460.002,,,,5432460002.0
,,,,,9.351.347.691,10.959.039.319,,,9351347691.0,10959039319.0
