row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Phải thu lại khoản đặt cọc từ hợp đồng hợp tác đầu tư (i),Ngắn hạn: > Phải thu lại khoản đặt cọc từ hợp đồng hợp tác đầu tư (i),Phải thu lại khoản đặt cọc từ hợp đồng hợp tác đầu tư (i),4.035.000.000.000,1.050.000.000.000,4035000000000.0,1050000000000.0
"Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc và phải thu từ cho vay","Ngắn hạn: > Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc và phải thu từ cho vay","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc và phải thu từ cho vay",1.042.244.561.460,890.625.661.389,1042244561460.0,890625661389.0
Phải thu từ việc thu hộ khách hàng thanh toán theo tiến độ,Ngắn hạn: > Phải thu từ việc thu hộ khách hàng thanh toán theo tiến độ,Phải thu từ việc thu hộ khách hàng thanh toán theo tiến độ,431.005.348.149,-,431005348149.0,
"Đặt cọc, ký quỹ cho mục đích đảm bảo phát triển dự án, mở bán căn hộ và thực hiện hợp đồng","Ngắn hạn: > Đặt cọc, ký quỹ cho mục đích đảm bảo phát triển dự án, mở bán căn hộ và thực hiện hợp đồng","Đặt cọc, ký quỹ cho mục đích đảm bảo phát triển dự án, mở bán căn hộ và thực hiện hợp đồng",399.402.596.957,584.249.597.024,399402596957.0,584249597024.0
Dự thu chiết khấu từ nhà cung cấp,Ngắn hạn: > Dự thu chiết khấu từ nhà cung cấp,Dự thu chiết khấu từ nhà cung cấp,167.538.476.309,21.960.629.137,167538476309.0,21960629137.0
Tạm ứng cho nhân viên,Ngắn hạn: > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,72.218.182.604,59.515.702.495,72218182604.0,59515702495.0
Phải thu từ thu nhập cổ tức,Ngắn hạn: > Phải thu từ thu nhập cổ tức,Phải thu từ thu nhập cổ tức,36.115.522.222,36.115.522.222,36115522222.0,36115522222.0
"Phải thu từ chủ sở hữu cũ của các công ty con, công ty liên kết","Ngắn hạn: > Phải thu từ chủ sở hữu cũ của các công ty con, công ty liên kết","Phải thu từ chủ sở hữu cũ của các công ty con, công ty liên kết",-,220.279.946.923,,220279946923.0
Phải thu khác,Ngắn hạn: > Phải thu khác,Phải thu khác,626.445.725.574,209.558.473.513,626445725574.0,209558473513.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,6.809.970.413.275,3.072.305.532.703,6809970413275.0,3072305532703.0
Dự phòng phải thu ngắn hạn khác khó đòi,Ngắn hạn: > Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,(62.885.538.299),(35.860.903.851),-62885538299.0,-35860903851.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác từ khách hàng,Trong đó: > Phải thu ngắn hạn khác từ khách hàng,Phải thu ngắn hạn khác từ khách hàng,6.800.619.065.584,3.061.346.493.384,6800619065584.0,3061346493384.0
Phải thu ngắn hạn khác từ bên liên quan (Thuyết minh số 37),Trong đó: > Phải thu ngắn hạn khác từ bên liên quan (Thuyết minh số 37),Phải thu ngắn hạn khác từ bên liên quan (Thuyết minh số 37),9.351.347.691,10.959.039.319,9351347691.0,10959039319.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Đặt cọc thuê gian hàng dài hạn,Dài hạn: > Đặt cọc thuê gian hàng dài hạn,Đặt cọc thuê gian hàng dài hạn,194.115.824.752,179.574.004.529,194115824752.0,179574004529.0
Đặt cọc thực hiện nghĩa vụ trái phiếu,Dài hạn: > Đặt cọc thực hiện nghĩa vụ trái phiếu,Đặt cọc thực hiện nghĩa vụ trái phiếu,120.190.140.000,-,120190140000.0,
Đặt cọc thực hiện hợp đồng hợp tác kinh doanh,Dài hạn: > Đặt cọc thực hiện hợp đồng hợp tác kinh doanh,Đặt cọc thực hiện hợp đồng hợp tác kinh doanh,73.366.827.000,-,73366827000.0,
Phải thu khác,Dài hạn: > Phải thu khác,Phải thu khác,18.843.910.330,12.190.234.785,18843910330.0,12190234785.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,406.516.702.082,191.764.239.314,406516702082.0,191764239314.0
