row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,688.479.678.357,283.039.374.788,688479678357.0,283039374788.0
Lãi thu được từ việc chuyển nhượng quyền tham gia phát triển dự án,Lãi thu được từ việc chuyển nhượng quyền tham gia phát triển dự án,Lãi thu được từ việc chuyển nhượng quyền tham gia phát triển dự án,450.000.000.000,-,450000000000.0,
"Lãi từ thanh lý, nhượng bán tài sản cố định","Lãi từ thanh lý, nhượng bán tài sản cố định","Lãi từ thanh lý, nhượng bán tài sản cố định",11.796.442.562,35.700.385.497,11796442562.0,35700385497.0
Tiền phạt thu được,Tiền phạt thu được,Tiền phạt thu được,143.710.158.776,70.708.814.696,143710158776.0,70708814696.0
Lãi từ giao dịch mua rè trong hợp nhất kinh doanh,Lãi từ giao dịch mua rè trong hợp nhất kinh doanh,Lãi từ giao dịch mua rè trong hợp nhất kinh doanh,-,123.824.134.645,,123824134645.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,82.973.077.019,52.806.039.950,82973077019.0,52806039950.0
Chi phí khác,Chi phí khác,Chi phí khác,618.871.762.087,948.045.248.993,618871762087.0,948045248993.0
"Lỗ từ thanh lý, nhượng bán tài sản cố định","Lỗ từ thanh lý, nhượng bán tài sản cố định","Lỗ từ thanh lý, nhượng bán tài sản cố định",224.910.588.639,72.547.843.357,224910588639.0,72547843357.0
Các khoản phạt,Các khoản phạt,Các khoản phạt,312.368.662.901,838.917.328.631,312368662901.0,838917328631.0
Chi phí khác,Chi phí khác,Chi phí khác,81.592.510.547,36.580.077.005,81592510547.0,36580077005.0
LỢI NHUẬN/(LỔ) KHÁC THUÀN,LỢI NHUẬN/(LỔ) KHÁC THUÀN,LỢI NHUẬN/(LỔ) KHÁC THUÀN,69.607.916.270,(665.005.874.205),69607916270.0,-665005874205.0
