row_label_raw,row_label_full,"Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Năm nay > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Đơn vị tính: VND > Năm trước > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","numeric__Năm nay > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","numeric__Đơn vị tính: VND > Năm trước > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác"
Tiền chi cho hoạt động cho vay,Tiền chi cho hoạt động cho vay,Tiền chi cho hoạt động cho vay,(3.128.785.916.909),(6.777.600.000.000),-3128785916909.0,-6777600000000.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,(303.301.551.618),(12.103.288.911.471),-303301551618.0,-12103288911471.0
Tổng cộng,Tổng cộng,Tổng cộng,(3.432.087.468.527),(18.880.888.911.471),-3432087468527.0,-18880888911471.0
"Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,
Tiền thu từ hoạt động cho vay,"Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác > Tiền thu từ hoạt động cho vay",Tiền thu từ hoạt động cho vay,12.257.780.740.761,2.669.609.550.761,12257780740761.0,2669609550761.0
Rút tiền gửi có kỳ hạn,"Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác > Rút tiền gửi có kỳ hạn",Rút tiền gửi có kỳ hạn,10.623.112.464.035,6.171.224.825.237,10623112464035.0,6171224825237.0
Tổng cộng,"Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác > Tổng cộng",Tổng cộng,22.880.893.204.796,8.840.834.375.998,22880893204796.0,8840834375998.0
Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,,
Tiền chi mua công ty con mới (trừ đi số dự tiên của công ty con tại ngày mua),Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tiền chi mua công ty con mới (trừ đi số dự tiên của công ty con tại ngày mua),Tiền chi mua công ty con mới (trừ đi số dự tiên của công ty con tại ngày mua),(1.691.523.942.666),(12.939.136.407.998),-1691523942666.0,-12939136407998.0
Tiền chi mua thêm cổ phần của công ty con hiện hữu,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tiền chi mua thêm cổ phần của công ty con hiện hữu,Tiền chi mua thêm cổ phần của công ty con hiện hữu,-,(523.718.706.200),,-523718706200.0
