row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,11.142.979.590.895,11142979590895.0
Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,93.448.998.244,93448998244.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,1.763.123.912.802,1763123912802.0
"Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, phải thu khác","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, phải thu khác","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, phải thu khác",890.625.661.389,890625661389.0
Phải thu từ thu nhập cổ tức,Phải thu từ thu nhập cổ tức,Phải thu từ thu nhập cổ tức,36.115.522.222,36115522222.0
Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,(67.064.381.376),-67064381376.0
Dự phòng phải thu về lãi cho vay khó đòi,Dự phòng phải thu về lãi cho vay khó đòi,Dự phòng phải thu về lãi cho vay khó đòi,(34.385.705.464),-34385705464.0
Chi phí lãi vay trả trước,Chi phí lãi vay trả trước,Chi phí lãi vay trả trước,23.446.929.828,23446929828.0
Chi phí thuế thu nhập doanh nghiệp trả trước,Chi phí thuế thu nhập doanh nghiệp trả trước,Chi phí thuế thu nhập doanh nghiệp trả trước,207.807.092.577,207807092577.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,660.027.543.114,660027543114.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,23.050.885.079,23050885079.0
Cổ tức ứng trước cho cổ đông nắm cổ phiếu ưu đãi của công ty con,Cổ tức ứng trước cho cổ đông nắm cổ phiếu ưu đãi của công ty con,Cổ tức ứng trước cho cổ đông nắm cổ phiếu ưu đãi của công ty con,598.725.944.622,598725944622.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,62.559.839.165,62559839165.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,9.597.557.595.727,9597557595727.0
Tải sản thuế thu nhập hoãn lại,Tải sản thuế thu nhập hoãn lại,Tải sản thuế thu nhập hoãn lại,170.157.957.461,170157957461.0
Tổng cộng,Tổng cộng,Tổng cộng,25.168.177.386.285,25168177386285.0
