row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ trong tương lai:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ trong tương lai:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ trong tương lai:,,,,
Trái phiếu chuyển đổi được chuyển thành vốn chủ sở hữu (Thuyết minh số 29.1),Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ trong tương lai: > Trái phiếu chuyển đổi được chuyển thành vốn chủ sở hữu (Thuyết minh số 29.1),Trái phiếu chuyển đổi được chuyển thành vốn chủ sở hữu (Thuyết minh số 29.1),2.202.521.952.538,1.083.198.350.930,2202521952538.0,1083198350930.0
Chỉ trả cổ tức bằng cổ phiếu (Thuyết minh số 29.1),Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ trong tương lai: > Chỉ trả cổ tức bằng cổ phiếu (Thuyết minh số 29.1),Chỉ trả cổ tức bằng cổ phiếu (Thuyết minh số 29.1),2.133.799.410.000,3.763.639.260.000,2133799410000.0,3763639260000.0
Tăng vốn cổ phần từ nguồn thẳng dư vốn (Thuyết minh số 29.1),Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ trong tương lai: > Tăng vốn cổ phần từ nguồn thẳng dư vốn (Thuyết minh số 29.1),Tăng vốn cổ phần từ nguồn thẳng dư vốn (Thuyết minh số 29.1),4.844.731.620.000,-,4844731620000.0,
Cấn trừ công nợ giữa hoạt động kinh doanh và hoạt động đầu tư,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ trong tương lai: > Cấn trừ công nợ giữa hoạt động kinh doanh và hoạt động đầu tư,Cấn trừ công nợ giữa hoạt động kinh doanh và hoạt động đầu tư,263.140.083.992,-,263140083992.0,
Cấn trừ công nợ giữa hoạt động đầu tư và hoạt động tài chính,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ trong tương lai: > Cấn trừ công nợ giữa hoạt động đầu tư và hoạt động tài chính,Cấn trừ công nợ giữa hoạt động đầu tư và hoạt động tài chính,130.937.638.643,-,130937638643.0,
Mã số 02. Khấu hao tài sản cổ định hữu hình và bắt động sản đầu tư và hao mòn tài sản cổ định vô hình (bao gồm phân bổ lợi thế thương mại),Mã số 02. Khấu hao tài sản cổ định hữu hình và bắt động sản đầu tư và hao mòn tài sản cổ định vô hình (bao gồm phân bổ lợi thế thương mại),Mã số 02. Khấu hao tài sản cổ định hữu hình và bắt động sản đầu tư và hao mòn tài sản cổ định vô hình (bao gồm phân bổ lợi thế thương mại),,,,
Khấu hao và hao mòn,Mã số 02. Khấu hao tài sản cổ định hữu hình và bắt động sản đầu tư và hao mòn tài sản cổ định vô hình (bao gồm phân bổ lợi thế thương mại) > Khấu hao và hao mòn,Khấu hao và hao mòn,2.281.457.070.129,1.522.991.052.048,2281457070129.0,1522991052048.0
Phân bổ lợi thế thương mại (Thuyết minh số 20),Mã số 02. Khấu hao tài sản cổ định hữu hình và bắt động sản đầu tư và hao mòn tài sản cổ định vô hình (bao gồm phân bổ lợi thế thương mại) > Phân bổ lợi thế thương mại (Thuyết minh số 20),Phân bổ lợi thế thương mại (Thuyết minh số 20),1.074.350.144.630,816.364.175.395,1074350144630.0,816364175395.0
Lãi từ giao dịch mua rè,Mã số 02. Khấu hao tài sản cổ định hữu hình và bắt động sản đầu tư và hao mòn tài sản cổ định vô hình (bao gồm phân bổ lợi thế thương mại) > Lãi từ giao dịch mua rè,Lãi từ giao dịch mua rè,-,(123.824.134.645),,-123824134645.0
Tổng cộng,Mã số 02. Khấu hao tài sản cổ định hữu hình và bắt động sản đầu tư và hao mòn tài sản cổ định vô hình (bao gồm phân bổ lợi thế thương mại) > Tổng cộng,Tổng cộng,3.355.807.214.759,2.215.531.092.798,3355807214759.0,2215531092798.0
Mã số 05. Lãi từ hoạt động đầu tư,Mã số 05. Lãi từ hoạt động đầu tư,Mã số 05. Lãi từ hoạt động đầu tư,,,,
Lỗ thuần từ thanh lý tài sản cổ định (Thuyết minh số 34),Mã số 05. Lãi từ hoạt động đầu tư > Lỗ thuần từ thanh lý tài sản cổ định (Thuyết minh số 34),Lỗ thuần từ thanh lý tài sản cổ định (Thuyết minh số 34),213.114.146.077,36.847.457.860,213114146077.0,36847457860.0
Lãi từ thanh lý các khoản đầu tư vào cổ phiếu của các đơn vị khác,Mã số 05. Lãi từ hoạt động đầu tư > Lãi từ thanh lý các khoản đầu tư vào cổ phiếu của các đơn vị khác,Lãi từ thanh lý các khoản đầu tư vào cổ phiếu của các đơn vị khác,(4.050.617.815.969),(246.175.742.586),-4050617815969.0,-246175742586.0
Phần lãi từ công ty liên kết (Thuyết minh số 19.1.1),Mã số 05. Lãi từ hoạt động đầu tư > Phần lãi từ công ty liên kết (Thuyết minh số 19.1.1),Phần lãi từ công ty liên kết (Thuyết minh số 19.1.1),(19.823.588.740),(39.227.754.200),-19823588740.0,-39227754200.0
Thu nhập lãi vay và cổ tức (Thuyết minh số 30.3),Mã số 05. Lãi từ hoạt động đầu tư > Thu nhập lãi vay và cổ tức (Thuyết minh số 30.3),Thu nhập lãi vay và cổ tức (Thuyết minh số 30.3),(1.208.877.911.369),(1.645.899.541.473),-1208877911369.0,-1645899541473.0
Tổng cộng,Mã số 05. Lãi từ hoạt động đầu tư > Tổng cộng,Tổng cộng,(5.066.205.170.001),(1.894.455.580.399),-5066205170001.0,-1894455580399.0
