row_label_raw,row_label_full,col_0,"Bản quyền,bằng sáng chếVND",Phần mềmmáy tínhVND,KhácVND,CộngVND,"numeric__Bản quyền,bằng sáng chếVND",numeric__Phần mềmmáy tínhVND,numeric__KhácVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
01/01/2024,NGUYÊN GIÁ > 01/01/2024,01/01/2024,2.661.339.000,22.822.927.955,170.000.000,25.654.266.955,2661339000.0,22822927955.0,170000000.0,25654266955.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,3.338.608.000,3.752.068.021,-,7.090.676.021,3338608000.0,3752068021.0,,7090676021.0
- Nhận tải trợ/biểu tăng,NGUYÊN GIÁ > - Nhận tải trợ/biểu tăng,- Nhận tải trợ/biểu tăng,-,4.852.696.200,-,4.852.696.200,,4852696200.0,,4852696200.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(274.560.000),-,(274.560.000),,-274560000.0,,-274560000.0
31/12/2024,NGUYÊN GIÁ > 31/12/2024,31/12/2024,5.999.947.000,31.153.132.176,170.000.000,37.323.079.176,5999947000.0,31153132176.0,170000000.0,37323079176.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,
01/01/2024,GIÁ TRỊ HAO MÒN > 01/01/2024,01/01/2024,(2.661.339.000),(19.519.864.837),(170.000.000),(22.351.203.837),-2661339000.0,-19519864837.0,-170000000.0,-22351203837.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,(13.240.740),(3.241.835.525),-,(3.255.076.265),-13240740.0,-3241835525.0,,-3255076265.0
"- Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,274.560.000,-,274.560.000,,274560000.0,,274560000.0
31/12/2024,GIÁ TRỊ HAO MÒN > 31/12/2024,31/12/2024,(2.674.579.740),(22.487.140.362),(170.000.000),(25.331.720.102),-2674579740.0,-22487140362.0,-170000000.0,-25331720102.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
01/01/2024,GIÁ TRỊ CÒN LẠI > 01/01/2024,01/01/2024,-,3.303.063.118,-,3.303.063.118,,3303063118.0,,3303063118.0
31/12/2024,GIÁ TRỊ CÒN LẠI > 31/12/2024,31/12/2024,3.325.367.260,8.665.991.814,-,11.991.359.074,3325367260.0,8665991814.0,,11991359074.0
