row_label_raw,row_label_full,Nhóm tài sản cố định,Thời gian khấu hao (năm),numeric__Thời gian khấu hao (năm)
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",05 - 25,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",03 - 10,
Phương tiện vận tải,"Máy móc, thiết bị > Phương tiện vận tải",Phương tiện vận tải,06,6.0
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,03 - 05,
