row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2024 VND,01/01/2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024 VND,numeric__01/01/2024 VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,17.236.948.453.222,16.920.881.424.280,300.0,,17236948453222.0,16920881424280.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,7.630.096.995.715,6.717.428.351.961,310.0,,7630096995715.0,6717428351961.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,V.14,1.683.976.288.736,1.188.189.990.131,311.0,,1683976288736.0,1188189990131.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,6.086.854.082,9.601.723.321,312.0,,6086854082.0,9601723321.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,V.15,3.389.828.536.307,3.054.950.173.589,313.0,,3389828536307.0,3054950173589.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,1.249.535.673.246,1.104.048.347.336,314.0,,1249535673246.0,1104048347336.0
Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,315,V.16,277.602.770.710,530.611.223.439,315.0,,277602770710.0,530611223439.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,,4.576.912.610,4.469.693.758,318.0,,4576912610.0,4469693758.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,V.17,186.031.098.976,217.852.363.441,319.0,,186031098976.0,217852363441.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,V.18,395.932.592.937,410.420.912.532,320.0,,395932592937.0,410420912532.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,436.526.268.111,197.283.924.414,322.0,,436526268111.0,197283924414.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,9.606.851.457.507,10.203.453.072.319,330.0,,9606851457507.0,10203453072319.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,V.17,260.595.388.007,157.421.551.625,337.0,,260595388007.0,157421551625.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,V.18,9.346.256.069.500,10.046.031.520.694,338.0,,9346256069500.0,10046031520694.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,,59.262.865.001.503,49.802.767.222.188,400.0,,59262865001503.0,49802767222188.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,V.19,59.262.865.001.503,49.802.767.222.188,410.0,,59262865001503.0,49802767222188.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,21.771.732.360.000,21.771.732.360.000,411.0,,21771732360000.0,21771732360000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,21.771.732.360.000,21.771.732.360.000,,,21771732360000.0,21771732360000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,14.602.790.587,14.602.790.587,412.0,,14602790587.0,14602790587.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,415,,(2.918.680.000),(2.918.680.000),415.0,,-2918680000.0,-2918680000.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,6.034.593.641.645,6.034.593.641.645,418.0,,6034593641645.0,6034593641645.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,31.444.854.889.271,21.984.757.109.956,421.0,,31444854889271.0,21984757109956.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,21.191.793.178.756,14.822.033.845.517,,,21191793178756.0,14822033845517.0
- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,10.253.061.710.515,7.162.723.264.439,,,10253061710515.0,7162723264439.0
TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,440,,76.499.813.454.725,66.723.648.646.468,440.0,,76499813454725.0,66723648646468.0
