row_label_raw,row_label_full,-,"Nguyên liệu, vật liệu","numeric__Nguyên liệu, vật liệu"
-,-,-,"Công cụ, dụng cụ",
-,-,-,"Chi phí sản xuất, kinh doanh dở dang",
-,-,-,Hàng hóa,
Cộng,Cộng,Cộng,Cộng,
