row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2024 VND,Năm 2023 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2024 VND,numeric__Năm 2023 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,22.703.437.620.392,20.105.701.046.398,1.0,,22703437620392.0,20105701046398.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,VI.2,104.074.076.959,104.358.523.579,2.0,,104074076959.0,104358523579.0
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,VI.3,22.599.363.543.433,20.001.342.522.819,10.0,,22599363543433.0,20001342522819.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,VI.4,8.769.643.687.164,8.169.976.063.198,11.0,,8769643687164.0,8169976063198.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,13.829.719.856.269,11.831.366.459.621,20.0,,13829719856269.0,11831366459621.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,VI.5,1.922.439.095.443,2.422.139.706.933,21.0,,1922439095443.0,2422139706933.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,VI.6,105.468.781.933,103.464.726.298,22.0,,105468781933.0,103464726298.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,60.523.614.159,66.912.656.317,23.0,,60523614159.0,66912656317.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,VI.7,369.492.296.898,337.549.710.395,25.0,,369492296898.0,337549710395.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,VI.8,1.032.754.207.941,3.418.084.711.330,26.0,,1032754207941.0,3418084711330.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,14.244.443.664.940,10.394.407.018.531,30.0,,14244443664940.0,10394407018531.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,VI.9,43.132.721.702,25.355.264.063,31.0,,43132721702.0,25355264063.0
Chi phí khác,Chi phí khác,Chi phí khác,32,VI.10,11.975.845.548,3.360.267.987,32.0,,11975845548.0,3360267987.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,,31.156.876.154,21.994.996.076,40.0,,31156876154.0,21994996076.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,14.275.600.541.094,10.416.402.014.607,50.0,,14275600541094.0,10416402014607.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,VI.12,2.656.487.542.093,2.284.806.160.005,51.0,,2656487542093.0,2284806160005.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,V.13,123.369.835.567,(268.546.547.920),52.0,,123369835567.0,-268546547920.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,11.495.743.163.434,8.400.142.402.522,60.0,,11495743163434.0,8400142402522.0
Lợi nhuận của Tổng Công ty,Lợi nhuận của Tổng Công ty,Lợi nhuận của Tổng Công ty,,,10.253.061.710.515,7.162.723.264.439,,,10253061710515.0,7162723264439.0
Lợi nhuận từ hoạt động khai thác tài sản KCHTHK,Lợi nhuận từ hoạt động khai thác tài sản KCHTHK,Lợi nhuận từ hoạt động khai thác tài sản KCHTHK,,IX,1.242.681.452.919,1.237.419.138.083,,,1242681452919.0,1237419138083.0
