row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị VND,31/12/2024 > Dự phòng VND,01/01/2024 > Giá trị VND,01/01/2024 > Dự phòng VND,numeric__31/12/2024 > Giá trị VND,numeric__31/12/2024 > Dự phòng VND,numeric__01/01/2024 > Giá trị VND,numeric__01/01/2024 > Dự phòng VND
- Lãi tiền gửi có kỳ hạn,- Lãi tiền gửi có kỳ hạn,- Lãi tiền gửi có kỳ hạn,465.345.057.539,-,788.992.958.902,-,465345057539.0,,788992958902.0,
- Phải thu về cổ phần hóa,- Phải thu về cổ phần hóa,- Phải thu về cổ phần hóa,68.398.481.485,-,68.979.496.633,-,68398481485.0,,68979496633.0,
- Bàn giao tài sản khí tượng cho Tổng Công ty quản lý Bay Việt Nam,- Bàn giao tài sản khí tượng cho Tổng Công ty quản lý Bay Việt Nam,- Bàn giao tài sản khí tượng cho Tổng Công ty quản lý Bay Việt Nam,52.411.366.089,-,52.411.366.089,-,52411366089.0,,52411366089.0,
- Thuế giá trị gia tăng đầu vào chưa được kê khai khấu trừ,- Thuế giá trị gia tăng đầu vào chưa được kê khai khấu trừ,- Thuế giá trị gia tăng đầu vào chưa được kê khai khấu trừ,24.947.925.206,-,8.977.243.738,-,24947925206.0,,8977243738.0,
- Tạm ứng,- Tạm ứng,- Tạm ứng,12.134.502.170,-,9.599.370.436,,12134502170.0,,9599370436.0,
"- Cổ tức, lợi nhuận được chia","- Cổ tức, lợi nhuận được chia","- Cổ tức, lợi nhuận được chia",-,-,26.250.000.000,-,,,26250000000.0,
- Các khoản phải thu ngắn hạn khác,- Các khoản phải thu ngắn hạn khác,- Các khoản phải thu ngắn hạn khác,25.045.306.230,-,28.273.578.571,-,25045306230.0,,28273578571.0,
Cộng,Cộng,Cộng,648.282.638.719,-,983.484.014.369,-,648282638719.0,,983484014369.0,
b. Phải thu dài hạn khác,b. Phải thu dài hạn khác,b. Phải thu dài hạn khác,b. Phải thu dài hạn khác,b. Phải thu dài hạn khác,b. Phải thu dài hạn khác,b. Phải thu dài hạn khác,,,,
,,,31/12/2024,31/12/2024,01/01/2024,01/01/2024,,,,
,,,Giá trị VND,Dự phòng VND,Giá trị VND,Dự phòng VND,,,,
- Phải thu chi phí đến bù giải phóng mặt bằng đối với diện tích không được giao sử dụng tại Phú Quốc,b. Phải thu dài hạn khác > - Phải thu chi phí đến bù giải phóng mặt bằng đối với diện tích không được giao sử dụng tại Phú Quốc,- Phải thu chi phí đến bù giải phóng mặt bằng đối với diện tích không được giao sử dụng tại Phú Quốc,184.565.128.906,-,184.565.128.906,-,184565128906.0,,184565128906.0,
- Khoản ứng trước cho Trung tâm phát triển Quỹ đất huyện Sóc Sơn tiền giải phóng mặt bằng T2 Nội Bài,b. Phải thu dài hạn khác > - Khoản ứng trước cho Trung tâm phát triển Quỹ đất huyện Sóc Sơn tiền giải phóng mặt bằng T2 Nội Bài,- Khoản ứng trước cho Trung tâm phát triển Quỹ đất huyện Sóc Sơn tiền giải phóng mặt bằng T2 Nội Bài,80.936.675.811,-,80.936.675.811,-,80936675811.0,,80936675811.0,
Cộng,b. Phải thu dài hạn khác > Cộng,Cộng,265.501.804.717,-,265.501.804.717,-,265501804717.0,,265501804717.0,
