row_label_raw,row_label_full,- Giá trị tạm tăng của các Công trình xây dựng cơ bản,31/12/2024VND > 133.495.467.231,01/01/2024VND > 360.336.595.385,numeric__31/12/2024VND > 133.495.467.231,numeric__01/01/2024VND > 360.336.595.385
"- Tiền thuế đất, thuê đất","- Tiền thuế đất, thuê đất","- Tiền thuế đất, thuê đất",67.400.912.811,96.260.635.300,67400912811.0,96260635300.0
- Lãi vay,- Lãi vay,- Lãi vay,17.114.000.000,18.615.000.000,17114000000.0,18615000000.0
- Tiền điện,- Tiền điện,- Tiền điện,13.281.706.152,8.588.032.030,13281706152.0,8588032030.0
- Hoa hồng thu hộ,- Hoa hồng thu hộ,- Hoa hồng thu hộ,9.704.583.302,6.523.653.941,9704583302.0,6523653941.0
- Dịch vụ vận hành hệ thống tra nạp nhiên liệu ngầm,- Dịch vụ vận hành hệ thống tra nạp nhiên liệu ngầm,- Dịch vụ vận hành hệ thống tra nạp nhiên liệu ngầm,9.693.920.351,8.865.849.340,9693920351.0,8865849340.0
"- Khám sức khỏe, bồi dưỡng độc hại","- Khám sức khỏe, bồi dưỡng độc hại","- Khám sức khỏe, bồi dưỡng độc hại",9.274.124.754,7.193.742.049,9274124754.0,7193742049.0
- Phúc lợi người lao động,- Phúc lợi người lao động,- Phúc lợi người lao động,5.087.077.025,5.209.402.679,5087077025.0,5209402679.0
- Dịch vụ vệ sinh,- Dịch vụ vệ sinh,- Dịch vụ vệ sinh,4.013.488.332,3.795.354.187,4013488332.0,3795354187.0
- Các khoản chi phí phải trả khác,- Các khoản chi phí phải trả khác,- Các khoản chi phí phải trả khác,8.537.490.752,15.222.958.528,8537490752.0,15222958528.0
Cộng,Cộng,Cộng,277.602.770.710,530.611.223.439,277602770710.0,530611223439.0
