row_label_raw,row_label_full,Trong vòng một năm > Trong năm thứ hai > Từ năm thứ ba đến năm thứ năm > Trên năm năm,"31/12/2024JPY > 2.531.502.349,44 > 7.594.507.048,32 > 49.558.503.241,08","01/01/2024JPY > 2.531.502.349,44 > 7.594.507.048,32 > 52.090.005.590,52","numeric__31/12/2024JPY > 2.531.502.349,44 > 7.594.507.048,32 > 49.558.503.241,08","numeric__01/01/2024JPY > 2.531.502.349,44 > 7.594.507.048,32 > 52.090.005.590,52"
Cộng,Cộng,Cộng,"62.216.014.988,28","64.747.517.337,72",62216014988.28,64747517337.72
Trừ số vay dài hạn phải trả trong vòng 12 tháng,Trừ số vay dài hạn phải trả trong vòng 12 tháng,Trừ số vay dài hạn phải trả trong vòng 12 tháng,"2.531.502.349,44","2.531.502.349,44",2531502349.44,2531502349.44
Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,"59.684.512.638,84","62.216.014.988,28",59684512638.84,62216014988.28
