row_label_raw,row_label_full,31/12/2025,Tài sản của bộ phận > Nguyên giá TSCĐ HH,Tài sản của bộ phận > Hao mòn lũy kế,Tài sản của bộ phận > Nợ phải thu,Tài sản của bộ phận > Tổng tài sản,Tài sản của bộ phận > Nợ phải trả,Khấu hao TSCĐ Năm 2025,numeric__Tài sản của bộ phận > Nguyên giá TSCĐ HH,numeric__Tài sản của bộ phận > Hao mòn lũy kế,numeric__Tài sản của bộ phận > Nợ phải thu,numeric__Tài sản của bộ phận > Tổng tài sản,numeric__Tài sản của bộ phận > Nợ phải trả,numeric__Khấu hao TSCĐ Năm 2025
Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.773.072.955.272,(2.296.375.300.440),523.937.971.725,2.422.579.327.198,169.421.681.070,227.214.416.795,3773072955272.0,-2296375300440.0,523937971725.0,2422579327198.0,169421681070.0,227214416795.0
Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.332.283.925.461,(1.981.191.417.808),115.873.578.380,1.054.722.330.272,255.231.127.563,86.067.647.649,2332283925461.0,-1981191417808.0,115873578380.0,1054722330272.0,255231127563.0,86067647649.0
Hoạt động SXKD khác,Hoạt động SXKD khác,Hoạt động SXKD khác,3.401.631.890.172,(2.113.176.062.236),436.539.175.096,11.671.717.701.211,3.467.963.610.361,141.434.608.125,3401631890172.0,-2113176062236.0,436539175096.0,11671717701211.0,3467963610361.0,141434608125.0
Tổng cộng,Tổng cộng,Tổng cộng,9.506.988.770.905,(6.390.742.780.484),1.076.350.725.201,15.149.019.358.681,3.892.616.418.994,454.716.672.569,9506988770905.0,-6390742780484.0,1076350725201.0,15149019358681.0,3892616418994.0,454716672569.0
01/01/2025,01/01/2025,01/01/2025,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Khấu hao TSCĐ Năm 2024,,,,,,
01/01/2025,01/01/2025,01/01/2025,Nguyên giá TSCĐ HH,Hao mòn lũy kế,Nợ phải thu,Tổng tài sản,Nợ phải trả,Khấu hao TSCĐ Năm 2024,,,,,,
Hoạt động SXKD sản phẩm Đường,01/01/2025 > Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.749.666.262.043,(2.069.378.933.645),509.235.437.513,2.770.647.594.645,131.114.453.822,223.699.855.355,3749666262043.0,-2069378933645.0,509235437513.0,2770647594645.0,131114453822.0,223699855355.0
Hoạt động SXKD sản phẩm Sữa đậu nành,01/01/2025 > Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.283.812.166.440,(1.899.520.184.124),96.784.258.137,1.043.694.827.231,194.639.908.731,80.964.540.180,2283812166440.0,-1899520184124.0,96784258137.0,1043694827231.0,194639908731.0,80964540180.0
Hoạt động SXKD khác,01/01/2025 > Hoạt động SXKD khác,Hoạt động SXKD khác,3.344.546.804.978,(1.974.802.685.470),204.608.643.369,10.792.588.195.812,3.667.300.111.099,133.583.867.592,3344546804978.0,-1974802685470.0,204608643369.0,10792588195812.0,3667300111099.0,133583867592.0
Tổng cộng,01/01/2025 > Tổng cộng,Tổng cộng,9.378.025.233.461,(5.943.701.803.239),810.628.339.019,14.606.930.617.688,3.993.054.473.652,438.248.263.127,9378025233461.0,-5943701803239.0,810628339019.0,14606930617688.0,3993054473652.0,438248263127.0
