row_label_raw,row_label_full,31/12/2025,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,271.489.550.515,-,271.489.550.515,271489550515.0,,271489550515.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,8.132.000.000.000,-,8.132.000.000.000,8132000000000.0,,8132000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,336.452.560.796,-,336.452.560.796,336452560796.0,,336452560796.0
Phải thu khác,Phải thu khác,Phải thu khác,71.004.873.945,809.169.947,71.814.043.892,71004873945.0,809169947.0,71814043892.0
Cộng,Cộng,Cộng,8.810.946.985.256,809.169.947,8.811.756.155.203,8810946985256.0,809169947.0,8811756155203.0
01/01/2025,01/01/2025,01/01/2025,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2025 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,538.409.906.246,-,538.409.906.246,538409906246.0,,538409906246.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2025 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,7.299.000.000.000,-,7.299.000.000.000,7299000000000.0,,7299000000000.0
Phải thu khách hàng,01/01/2025 > Phải thu khách hàng,Phải thu khách hàng,340.559.149.690,-,340.559.149.690,340559149690.0,,340559149690.0
Phải thu khác,01/01/2025 > Phải thu khác,Phải thu khác,49.099.238.006,434.783.710,49.534.021.716,49099238006.0,434783710.0,49534021716.0
Cộng,01/01/2025 > Cộng,Cộng,8.227.068.293.942,434.783.710,8.227.503.077.652,8227068293942.0,434783710.0,8227503077652.0
