row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Năm 2025 VND,numeric__Năm 2024 VND
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,2.432.301.782.041,2.840.032.474.226,1.0,2432301782041.0,2840032474226.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,
- Khấu hao Tài sản cố định và phân bổ tiền thuê đất,2. Điều chỉnh cho các khoản > - Khấu hao Tài sản cố định và phân bổ tiền thuê đất,- Khấu hao Tài sản cố định và phân bổ tiền thuê đất,02,460.151.625.640,443.683.216.210,2.0,460151625640.0,443683216210.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,149.219.068,(1.737.699.666),3.0,149219068.0,-1737699666.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,790.804.488,232.777.508,4.0,790804488.0,232777508.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(495.156.670.234),(428.677.417.361),5.0,-495156670234.0,-428677417361.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,06,106.881.285.155,93.610.782.278,6.0,106881285155.0,93610782278.0
- Các khoản điều chỉnh khác,2. Điều chỉnh cho các khoản > - Các khoản điều chỉnh khác,- Các khoản điều chỉnh khác,07,(9.244.555.462),-,7.0,-9244555462.0,
3. Lợi nhuận từ HĐKD trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ HĐKD trước thay đổi vốn lưu động,3. Lợi nhuận từ HĐKD trước thay đổi vốn lưu động,08,2.495.873.490.696,2.947.144.133.195,8.0,2495873490696.0,2947144133195.0
