row_label_raw,row_label_full,Báo cáo bộ phận theo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sữa đậu nành,Sản phẩm Sữa đậu nành_1,Khác,Khác_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sữa đậu nành,numeric__Sản phẩm Sữa đậu nành_1,numeric__Khác,numeric__Khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phận theo hoạt động kinh doanh,Báo cáo bộ phận theo hoạt động kinh doanh,Báo cáo bộ phận theo hoạt động kinh doanh,Năm 2025,Năm 2024,Năm 2025,Năm 2024,Năm 2025,Năm 2024,Năm 2025,Năm 2024,,,,,,,,
Doanh thu bộ phận,Báo cáo bộ phận theo hoạt động kinh doanh > Doanh thu bộ phận,Doanh thu bộ phận,3.629.853.463.824,3.939.439.526.736,4.805.162.236.225,4.173.521.197.927,1.863.890.214.490,1.841.052.092.101,10.298.905.914.539,9.954.012.816.764,3629853463824.0,3939439526736.0,4805162236225.0,4173521197927.0,1863890214490.0,1841052092101.0,10298905914539.0,9954012816764.0
Giá vốn bộ phận,Báo cáo bộ phận theo hoạt động kinh doanh > Giá vốn bộ phận,Giá vốn bộ phận,2.859.083.010.239,2.649.501.089.986,2.585.974.933.904,2.535.983.890.839,1.357.665.509.929,1.314.675.193.139,6.802.723.454.072,6.500.160.173.964,2859083010239.0,2649501089986.0,2585974933904.0,2535983890839.0,1357665509929.0,1314675193139.0,6802723454072.0,6500160173964.0
Lợi nhuận gộp,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,770.770.453.585,1.289.938.436.750,2.219.187.302.321,1.637.537.307.088,506.224.704.561,526.376.898.962,3.496.182.460.467,3.453.852.642.800,770770453585.0,1289938436750.0,2219187302321.0,1637537307088.0,506224704561.0,526376898962.0,3496182460467.0,3453852642800.0
Doanh thu hoạt động tài chính,Báo cáo bộ phận theo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,528.576.866.654,457.220.214.212,,,,,,,528576866654.0,457220214212.0
Chi phí tài chính,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,111.281.652.304,95.928.285.041,,,,,,,111281652304.0,95928285041.0
Chi phí bán hàng,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,1.335.392.668.669,834.984.949.102,,,,,,,1335392668669.0,834984949102.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,242.844.017.491,238.160.634.325,,,,,,,242844017491.0,238160634325.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,2.335.240.988.657,2.741.998.988.544,,,,,,,2335240988657.0,2741998988544.0
Thu nhập khác,Báo cáo bộ phận theo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,98.660.902.255,99.603.786.171,,,,,,,98660902255.0,99603786171.0
Chi phí khác,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,1.600.108.871,1.570.300.489,,,,,,,1600108871.0,1570300489.0
Lợi nhuận khác,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,97.060.793.384,98.033.485.682,,,,,,,97060793384.0,98033485682.0
Lợi nhuận trước thuế,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,2.432.301.782.041,2.840.032.474.226,,,,,,,2432301782041.0,2840032474226.0
Thuế TNDN,Báo cáo bộ phận theo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,295.415.431.865,268.440.046.653,,,,,,,295415431865.0,268440046653.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,2.136.886.350.176,2.571.592.427.573,,,,,,,2136886350176.0,2571592427573.0
