row_label_raw,row_label_full,31/12/2025,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,435.712.798.146,-,435.712.798.146,435712798146.0,,435712798146.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,6.170.933.661,-,6.170.933.661,6170933661.0,,6170933661.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,2.536.306.295.304,-,2.536.306.295.304,2536306295304.0,,2536306295304.0
Phải trả khác,Phải trả khác,Phải trả khác,291.461.055.946,93.000.000,291.554.055.946,291461055946.0,93000000.0,291554055946.0
Cộng,Cộng,Cộng,3.269.651.083.057,93.000.000,3.269.744.083.057,3269651083057.0,93000000.0,3269744083057.0
01/01/2025,01/01/2025,01/01/2025,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2025 > Phải trả người bán,Phải trả người bán,464.095.068.931,-,464.095.068.931,464095068931.0,,464095068931.0
Chi phí phải trả,01/01/2025 > Chi phí phải trả,Chi phí phải trả,4.821.918.376,-,4.821.918.376,4821918376.0,,4821918376.0
Vay và nợ thuê tài chính,01/01/2025 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,2.713.580.820.203,-,2.713.580.820.203,2713580820203.0,,2713580820203.0
Phải trả khác,01/01/2025 > Phải trả khác,Phải trả khác,252.570.843.557,-,252.570.843.557,252570843557.0,,252570843557.0
Cộng,01/01/2025 > Cộng,Cộng,3.435.068.651.067,-,3.435.068.651.067,3435068651067.0,,3435068651067.0
