row_label_raw,row_label_full,Phải thu khác chi tiết theo đối tượng như sau:,Phải thu khác chi tiết theo đối tượng như sau:_1,Phải thu khác chi tiết theo đối tượng như sau:_2,Phải thu khác chi tiết theo đối tượng như sau:_3,Phải thu khác chi tiết theo đối tượng như sau:_4,numeric__Phải thu khác chi tiết theo đối tượng như sau:_1,numeric__Phải thu khác chi tiết theo đối tượng như sau:_2,numeric__Phải thu khác chi tiết theo đối tượng như sau:_3,numeric__Phải thu khác chi tiết theo đối tượng như sau:_4
,,,31/12/2024,31/12/2024,01/01/2024,01/01/2024,,,,
,,,Giá trị VND,Dự phòng VND,Giá trị VND,Dự phòng VND,,,,
Bên khác,Bên khác,Bên khác,1.445.128.199.627,(108.929.693.915),695.974.144.361,(245.949.946.876),1445128199627.0,-108929693915.0,695974144361.0,-245949946876.0
Công ty CP Tập đoàn FLC,Công ty CP Tập đoàn FLC,Công ty CP Tập đoàn FLC,29.527.426.000,-,29.527.426.000,(7.044.813.763),29527426000.0,,29527426000.0,-7044813763.0
Công ty CP Cơ khí Nhôm kính Anh Việt,Công ty CP Cơ khí Nhôm kính Anh Việt,Công ty CP Cơ khí Nhôm kính Anh Việt,22.332.104.466,-,-,-,22332104466.0,,,
Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,1.307.154.614,,,,1307154614.0,,,
Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,290.788.401.334,-,-,-,290788401334.0,,,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,1.101.173.113.212,(108.929.693.915),666.446.718.361,(238.905.133.113),1101173113212.0,-108929693915.0,666446718361.0,-238905133113.0
,,,2.036.139.265.812,(188.736.437.156),1.462.367.088.835,(261.315.130.553),2036139265812.0,-188736437156.0,1462367088835.0,-261315130553.0
