row_label_raw,row_label_full,Đầu tư góp vốn vào đơn vị khác,31/12/2024 > Giá gốc VND,31/12/2024 > Dự phòng VND,31/12/2024 > Giá trị hợp lý (*) VND,01/01/2024 > Giá gốc VND,01/01/2024 > Dự phòng VND,01/01/2024 > Giá trị hợp lý (*) VND,numeric__31/12/2024 > Giá gốc VND,numeric__31/12/2024 > Dự phòng VND,numeric__31/12/2024 > Giá trị hợp lý (*) VND,numeric__01/01/2024 > Giá gốc VND,numeric__01/01/2024 > Dự phòng VND,numeric__01/01/2024 > Giá trị hợp lý (*) VND
- Đầu tư vào công ty con,- Đầu tư vào công ty con,- Đầu tư vào công ty con,720.102.995.795,(453.140.900.557),-,737.949.088.062,(465.802.553.645),-,720102995795.0,-453140900557.0,,737949088062.0,-465802553645.0,
Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,449.800.000.000,(449.800.000.000),Chưa xác định,449.800.000.000,(449.800.000.000),Chưa xác định,449800000000.0,-449800000000.0,,449800000000.0,-449800000000.0,
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,256.208.939.051,-,Chưa xác định,256.208.939.051,-,Chưa xác định,256208939051.0,,,256208939051.0,,
Công ty Cổ phần Sơn và Chất phù Hòa Bình,Công ty Cổ phần Sơn và Chất phù Hòa Bình,Công ty Cổ phần Sơn và Chất phù Hòa Bình,6.800.000.000,-,Chưa xác định,6.800.000.000,-,Chưa xác định,6800000000.0,,,6800000000.0,,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,1.500.000.000,-,Chưa xác định,1.500.000.000,-,Chưa xác định,1500000000.0,,,1500000000.0,,
Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,-,-,Chưa xác định,20.000.000.000,(16.002.553.645),Chưa xác định,,,,20000000000.0,-16002553645.0,
Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,1.066.500.000,-,Chưa xác định,1.066.500.000,-,Chưa xác định,1066500000.0,,,1066500000.0,,
Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,1.020.000.000,(333.343.813),Chưa xác định,-,-,-,1020000000.0,-333343813.0,,,,
Công ty Cổ Phần Thương Mại Vá Đầu Tư Pax,Công ty Cổ Phần Thương Mại Vá Đầu Tư Pax,Công ty Cổ Phần Thương Mại Vá Đầu Tư Pax,700.000.000,-,Chưa xác định,-,-,-,700000000.0,,,,,
Công ty TNHH MTV Trung tâm đối mới sáng tạo Hòa Bình,Công ty TNHH MTV Trung tâm đối mới sáng tạo Hòa Bình,Công ty TNHH MTV Trung tâm đối mới sáng tạo Hòa Bình,3.007.556.744,(3.007.556.744),Chưa xác định,2.573.649.011,-,Chưa xác định,3007556744.0,-3007556744.0,,2573649011.0,,
- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,91.000.000.000,(3.657.314.276),-,145.402.520.000,(38.385.027.569),-,91000000000.0,-3657314276.0,,145402520000.0,-38385027569.0,
Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,85.000.000.000,-,Chưa xác định,85.000.000.000,-,Chưa xác định,85000000000.0,,,85000000000.0,,
Công ty CP Kỹ thuật Jesco Hòa Bình,Công ty CP Kỹ thuật Jesco Hòa Bình,Công ty CP Kỹ thuật Jesco Hòa Bình,-,-,-,34.842.520.000,(26.248.494.738),Chưa xác định,,,,34842520000.0,-26248494738.0,
Công ty CP Cơ khí và Nhôm kính Anh Việt,Công ty CP Cơ khí và Nhôm kính Anh Việt,Công ty CP Cơ khí và Nhôm kính Anh Việt,-,-,-,19.560.000.000,(8.566.211.588),Chưa xác định,,,,19560000000.0,-8566211588.0,
Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,6.000.000.000,(3.657.314.276),Chưa xác định,6.000.000.000,(3.570.321.243),Chưa xác định,6000000000.0,-3657314276.0,,6000000000.0,-3570321243.0,
