row_label_raw,row_label_full,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các bảo cáo tài chính dính kèm. > 5.8 Nợ quá hạn,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các bảo cáo tài chính dính kèm. > 31/12/2024 > Giá gốcVND,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các bảo cáo tài chính dính kèm. > 31/12/2024 > Giá trị có thể thu hồiVND,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các bảo cáo tài chính dính kèm. > 01/01/2024 > Giá gốcVND,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các bảo cáo tài chính dính kèm. > 01/01/2024 > Giá trị có thể thu hồiVND,numeric__Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các bảo cáo tài chính dính kèm. > 31/12/2024 > Giá gốcVND,numeric__Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các bảo cáo tài chính dính kèm. > 31/12/2024 > Giá trị có thể thu hồiVND,numeric__Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các bảo cáo tài chính dính kèm. > 01/01/2024 > Giá gốcVND,numeric__Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các bảo cáo tài chính dính kèm. > 01/01/2024 > Giá trị có thể thu hồiVND
Công ty CP Kinh doanh và Xây dựng Quang Minh,Công ty CP Kinh doanh và Xây dựng Quang Minh,Công ty CP Kinh doanh và Xây dựng Quang Minh,182.636.665.903,6.849.023.895,175.787.642.008,-,182636665903.0,6849023895.0,175787642008.0,
Công ty CP Đầu tư Thương mại Dịch vụ Cầu Giấy,Công ty CP Đầu tư Thương mại Dịch vụ Cầu Giấy,Công ty CP Đầu tư Thương mại Dịch vụ Cầu Giấy,121.888.827.177,1.861.295.985,120.027.531.192,-,121888827177.0,1861295985.0,120027531192.0,
Công ty CP Xây dựng và Quản lý nhà An Trung Phát,Công ty CP Xây dựng và Quản lý nhà An Trung Phát,Công ty CP Xây dựng và Quản lý nhà An Trung Phát,71.124.662.057,283.833.000,70.840.829.057,-,71124662057.0,283833000.0,70840829057.0,
Công ty CP Xây dựng và Phát triển Đô thị,Công ty CP Xây dựng và Phát triển Đô thị,Công ty CP Xây dựng và Phát triển Đô thị,129.828.770.259,746.434.492,95.250.602.766,-,129828770259.0,746434492.0,95250602766.0,
Công ty CP Tập đoàn TMS,Công ty CP Tập đoàn TMS,Công ty CP Tập đoàn TMS,112.472.954.437,-,112.472.954.437,-,112472954437.0,,112472954437.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,1.354.672.401.456,193.272.152.571,2.308.179.097.680,708.942.933.347,1354672401456.0,193272152571.0,2308179097680.0,708942933347.0
,,,1.972.624.281.289,203.012.739.943,2.882.558.657.140,708.942.933.347,1972624281289.0,203012739943.0,2882558657140.0,708942933347.0
