row_label_raw,row_label_full,Tên Công ty,Hoạt động kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Tỉnh trạng hoạt động,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỉnh trạng hoạt động
Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Xây dựng công trình đường sắt và đường bộ,"35,25%","35,25%",Đang hoạt động,,0.3525,0.3525,
Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,"Cung cấp dịch vụ trang trí nội thất, mua bán vật liệu và thiết bị lắp đặt trong xây dựng","25,53%","25,53%",Đang hoạt động,,0.2553,0.2553,
