row_label_raw,row_label_full,Tên Công ty,Hoạt động kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Tỉnh trang hoạt động,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỉnh trang hoạt động
Công ty CP Du lịch Hòa Binh Việt Nam,Công ty CP Du lịch Hòa Binh Việt Nam,Công ty CP Du lịch Hòa Binh Việt Nam,"Cung cấp dịch vụ lữ hành, du lịch, vận chuyển hành khách","14,27%","14,27%",Đang hoạt động,,0.1427,0.1427,
Công ty CP Sài Gòn - Rach Giá,Công ty CP Sài Gòn - Rach Giá,Công ty CP Sài Gòn - Rach Giá,Cung cấp dịch vụ lưu trú ngắn ngày,"10,24%","10,24%",Đang hoạt động,,0.1024,0.1024,
Công ty CP Jesco Asia,Công ty CP Jesco Asia,Công ty CP Jesco Asia,Xây dựng,"3,23%","3,23%",Đang hoạt động,,0.0323,0.0323,
