row_label_raw,row_label_full,Bên liên quan khác,Tỉnh chất giao dịch,Năm 2024 VND,Năm 2023 VND,numeric__Tỉnh chất giao dịch,numeric__Năm 2024 VND,numeric__Năm 2023 VND
Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,Mua dịch vụ,1.950.000.000,-,,1950000000.0,
Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,Thu cho vay,-,3.200.000.000,,,3200000000.0
Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,Lãi cho vay,66.566.200.735,30.931.170.362,,66566200735.0,30931170362.0
Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,Cung cấp dịch vụ xây dựng,-,6.064.384.799,,,6064384799.0
Công ty TNHH Sài Gòn Ngày mới,Công ty TNHH Sài Gòn Ngày mới,Công ty TNHH Sài Gòn Ngày mới,Cho vay,3.531.733.998,-,,3531733998.0,
Công ty TNHH Sài Gòn Ngày mới,Công ty TNHH Sài Gòn Ngày mới,Công ty TNHH Sài Gòn Ngày mới,Lãi cho vay,3.531.733.998,1.648.051.815,,3531733998.0,1648051815.0
Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Lãi cho vay,30.267.400.369,14.005.877.578,,30267400369.0,14005877578.0
Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Cho vay,30.267.400.369,-,,30267400369.0,
Công ty CP Interhouse LA,Công ty CP Interhouse LA,Công ty CP Interhouse LA,Mua vật tư,40.056.338.829,30.563.539.686,,40056338829.0,30563539686.0
Công ty CP Interhouse LA,Công ty CP Interhouse LA,Công ty CP Interhouse LA,Cân trừ vật tư,340.434.513,-,,340434513.0,
Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Cho vay,964.400.780,-,,964400780.0,
Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Lãi cho vay,964.400.780,447.671.784,,964400780.0,447671784.0
Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Góp vốn,1.020.000.000,-,,1020000000.0,
Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Cung cấp dịch vụ,481.501.200,-,,481501200.0,
Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Cung cấp dịch vụ,323.004.180,-,,323004180.0,
Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Thanh lý phế liệu,-,241.444.800,,,241444800.0
Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,Mua dịch vụ,-,8.505.710.649,,,8505710649.0
Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,Cung cấp dịch vụ khác,4.500.000,-,,4500000.0,
Công ty Cổ Phân Thương Mai Và Đầu Tư Pax,Công ty Cổ Phân Thương Mai Và Đầu Tư Pax,Công ty Cổ Phân Thương Mai Và Đầu Tư Pax,Góp vốn,700.000.000,-,,700000000.0,
