row_label_raw,row_label_full,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 5.6,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > Phải thu khác,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 31/12/2024 > Giá trịVND,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 31/12/2024 > Dự phòngVND,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 01/01/2024 > Giá trịVND,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 01/01/2024 > Dự phòngVND,numeric__Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > Phải thu khác,numeric__Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 31/12/2024 > Giá trịVND,numeric__Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 31/12/2024 > Dự phòngVND,numeric__Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 01/01/2024 > Giá trịVND,numeric__Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 01/01/2024 > Dự phòngVND
,,,Ngắn hạn,,,,,,,,,
,,,Tạm ứng cho nhân viên,570.929.275.562,(82.266.753.480),467.702.624.842,(197.004.070.662),,570929275562.0,-82266753480.0,467702624842.0,-197004070662.0
,,,- Thực hiện thỏa thuận về phát hành cổ phiếu cho đối tác (i),99.500.000.000,-,99.500.000.000,-,,99500000000.0,,99500000000.0,
,,,- Đế mua cổ phần tại Công ty CP Đầu tư Pax International (ii),138.451.358.600,-,138.451.358.600,-,,138451358600.0,,138451358600.0,
,,,"- Tạm ứng chi phí vật tư, hàng hóa công trình và công tác phí",332.977.916.962,(82.266.753.480),229.751.266.242,(197.004.070.662),,332977916962.0,-82266753480.0,229751266242.0,-197004070662.0
,,,Tạm ứng cho Chủ tịch Hội đồng quản trị (iii),120.000.000.000,-,120.000.000.000,-,,120000000000.0,,120000000000.0,
,,,Cho mượn nguồn lực sản xuất,483.233.833.722,-,340.554.155.578,-,,483233833722.0,,340554155578.0,
,,,Phải thu Công ty CP Đầu tư Địa ốc Tiến Phát liên quan dự án Thạch Bàn Lakeside (iv),67.206.743.241,(67.206.743.241),67.206.743.241,-,,67206743241.0,-67206743241.0,67206743241.0,
,,,Phải thu từ hoạt động thanh lý tài sản (v),290.788.401.334,-,-,-,,290788401334.0,,,
,,,Phải thu từ hoạt động chuyển nhượng khoản đầu tư (vi),39.637.315.070,-,-,-,,39637315070.0,,,
,,,Phải thu từ hoạt động bản các khoản phải thu (vii),74.554.981.799,-,-,-,,74554981799.0,,,
,,,Lãi chậm thanh toán,147.144.983.758,(39.262.940.435),115.822.558.428,(63.793.586.179),,147144983758.0,-39262940435.0,115822558428.0,-63793586179.0
,,,"Lãi tiền gửi ngân hàng, lãi cho vay",4.533.254.563,-,3.292.981.656,-,,4533254563.0,,3292981656.0,
,,,Cổ tức và lợi nhuận được chia,2.694.833.301,-,2.766.715.508,-,,2694833301.0,,2766715508.0,
,,,Phải thu khác từ nhân viên,10.677.663.518,-,26.588.980.497,-,,10677663518.0,,26588980497.0,
,,,Các khoản ký quỹ,29.074.988.470,-,6.041.959.261,-,,29074988470.0,,6041959261.0,
,,,Phải thu khác,49.891.699.333,,41.860.435.072,(517.473.712),,49891699333.0,,41860435072.0,-517473712.0
,,,,1.890.367.973.672,(188.736.437.156),1.191.837.154.083,(261.315.130.553),,1890367973672.0,-188736437156.0,1191837154083.0,-261315130553.0
,,,Dài hạn,,,,,,,,,
,,,Tạm ứng cho nhân viên (viii),125.326.938.188,-,266.000.000.000,-,,125326938188.0,,266000000000.0,
,,,Các khoản ký quỹ,20.444.353.952,-,4.529.934.752,-,,20444353952.0,,4529934752.0,
,,,,145.771.292.140,-,270.529.934.752,-,,145771292140.0,,270529934752.0,
