row_label_raw,row_label_full,Chi tiết dự phòng các khoản cho vay ngắn hạn,31/12/2024VND,01/01/2024VND,numeric__31/12/2024VND,numeric__01/01/2024VND
Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,75.075.867.681,75.075.867.661,75075867681.0,75075867661.0
Công ty CP Chứng khoán Sen Vàng,Công ty CP Chứng khoán Sen Vàng,Công ty CP Chứng khoán Sen Vàng,1.429.181.347,1.429.181.347,1429181347.0,1429181347.0
Ông Lê Anh Dũng,Ông Lê Anh Dũng,Ông Lê Anh Dũng,4.359.635.693,4.359.635.693,4359635693.0,4359635693.0
,,,80.864.684.721,80.864.684.701,80864684721.0,80864684701.0
