row_label_raw,row_label_full,5.15 Phải trả người bán ngắn hạn,31/12/2024 > Giá trị VND,31/12/2024 > Số có khả năng trả nợ VND,01/01/2024 > Giá trị VND,01/01/2024 > Số có khả năng trả nợ VND,numeric__31/12/2024 > Giá trị VND,numeric__31/12/2024 > Số có khả năng trả nợ VND,numeric__01/01/2024 > Giá trị VND,numeric__01/01/2024 > Số có khả năng trả nợ VND
Bên liên quan,Bên liên quan,Bên liên quan,58.288.525.128,58.288.525.128,238.401.263.334,238.401.263.334,58288525128.0,58288525128.0,238401263334.0,238401263334.0
Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,-,-,88.730.816.813,88.730.816.813,,,88730816813.0,88730816813.0
Công ty CP Kỹ thuật Jesco Hòa Bình,Công ty CP Kỹ thuật Jesco Hòa Bình,Công ty CP Kỹ thuật Jesco Hòa Bình,-,-,39.432.000.845,39.432.000.845,,,39432000845.0,39432000845.0
Công ty CP Cơ khí và Nhôm kính Anh Việt,Công ty CP Cơ khí và Nhôm kính Anh Việt,Công ty CP Cơ khí và Nhôm kính Anh Việt,-,-,35.266.738.582,35.266.738.582,,,35266738582.0,35266738582.0
Công ty CP Interhouse LA,Công ty CP Interhouse LA,Công ty CP Interhouse LA,25.247.895.569,25.247.895.569,42.700.067.258,42.700.067.258,25247895569.0,25247895569.0,42700067258.0,42700067258.0
Công ty Cổ phần Sơn và Chất phù Hòa Bình,Công ty Cổ phần Sơn và Chất phù Hòa Bình,Công ty Cổ phần Sơn và Chất phù Hòa Bình,-,-,7.108.235.983,7.108.235.983,,,7108235983.0,7108235983.0
Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,11.707.359.994,11.707.359.994,11.707.359.994,11.707.359.994,11707359994.0,11707359994.0,11707359994.0,11707359994.0
Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,4.221.066.046,4.221.066.046,4.221.066.046,4.221.066.046,4221066046.0,4221066046.0,4221066046.0,4221066046.0
Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,2.345.466.912,2.345.466.912,2.345.466.912,2.345.466.912,2345466912.0,2345466912.0,2345466912.0,2345466912.0
Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,4.917.956.581,4.917.956.581,588.336.385,588.336.385,4917956581.0,4917956581.0,588336385.0,588336385.0
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,994.075.040,994.075.040,994.075.040,994.075.040,994075040.0,994075040.0,994075040.0,994075040.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,820.699.245,820.699.245,741.636.418,741.636.418,820699245.0,820699245.0,741636418.0,741636418.0
Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,3.468.542.683,3.468.542.683,-,-,3468542683.0,3468542683.0,,
Chỉ nhành Công ty Cổ phần Sơn và Chất phủ Hòa Bình tại Hung Yên,Chỉ nhành Công ty Cổ phần Sơn và Chất phủ Hòa Bình tại Hung Yên,Chỉ nhành Công ty Cổ phần Sơn và Chất phủ Hòa Bình tại Hung Yên,4.565.463.058,4.565.463.058,4.565.463.058,4.565.463.058,4565463058.0,4565463058.0,4565463058.0,4565463058.0
