row_label_raw,row_label_full,Tài sản cố định hữu hình,Tài sản cố định hữu hình_1,Tài sản cố định hữu hình_2,Tài sản cố định hữu hình_3,Tài sản cố định hữu hình_4,Tài sản cố định hữu hình_5,numeric__Tài sản cố định hữu hình_1,numeric__Tài sản cố định hữu hình_2,numeric__Tài sản cố định hữu hình_3,numeric__Tài sản cố định hữu hình_4,numeric__Tài sản cố định hữu hình_5
Khoản mục,Khoản mục,Khoản mục,"Nhà cửa, vật kiến trúc VND",Máy móc thiết bị VND,Phương tiện vận tải VND,Thiết bị dụng cụ quản lý VND,Tổng cộng VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.124.410.448,1.791.392.538.113,56.792.350.523,18.307.724.544,1.871.617.023.628,5124410448.0,1791392538113.0,56792350523.0,18307724544.0,1871617023628.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,192.436.574.673,-,-,192.436.574.673,,192436574673.0,,,192436574673.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(586.679.284.614),(375.175.376),(2.630.908.059),(589.685.368.049),,-586679284614.0,-375175376.0,-2630908059.0,-589685368049.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.124.410.448,1.397.149.828.172,56.417.175.147,15.676.816.485,1.474.368.230.252,5124410448.0,1397149828172.0,56417175147.0,15676816485.0,1474368230252.0
Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kê > Số dư đầu năm,Số dư đầu năm,4.326.500.527,1.281.837.135.686,43.866.812.383,17.247.939.757,1.347.278.388.353,4326500527.0,1281837135686.0,43866812383.0,17247939757.0,1347278388353.0
Khấu hao trong năm,Giá trị hao mòn lũy kê > Khấu hao trong năm,Khấu hao trong năm,190.718.412,139.225.352.637,5.281.177.875,536.985.162,145.234.234.086,190718412.0,139225352637.0,5281177875.0,536985162.0,145234234086.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kê > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(518.923.409.607),(375.175.376),(2.630.908.059),(521.929.493.042),,-518923409607.0,-375175376.0,-2630908059.0,-521929493042.0
Số dư cuối năm,Giá trị hao mòn lũy kê > Số dư cuối năm,Số dư cuối năm,4.517.218.939,902.139.078.716,48.772.814.882,15.154.016.860,970.583.129.397,4517218939.0,902139078716.0,48772814882.0,15154016860.0,970583129397.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,797.909.921,509.555.402.427,12.925.538.140,1.059.784.787,524.338.635.275,797909921.0,509555402427.0,12925538140.0,1059784787.0,524338635275.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,607.191.509,495.010.749.456,7.644.360.265,522.799.625,503.785.100.855,607191509.0,495010749456.0,7644360265.0,522799625.0,503785100855.0
