row_label_raw,row_label_full,STT > 505,TÊN NHÀ CUNG CẤP > CÔNG TY TNHH FREYSSINET VIỆT NAM,TẠI 31/12/2024 > 1.477.658.519,numeric__TÊN NHÀ CUNG CẤP > CÔNG TY TNHH FREYSSINET VIỆT NAM,numeric__TẠI 31/12/2024 > 1.477.658.519
506,506,506,CÔNG TY TNHH THƯƠNG MAI XÃY DỰNG TRIỀU LÂM,1.475.521.974,,1475521974.0
507,507,507,CÔNG TY TNHH XD TM DV NGUYÊN LỸ,1.473.185.320,,1473185320.0
508,508,508,CÔNG TY CỔ PHẦN XÃY DỰNG BẢO TÍN,1.470.708.877,,1470708877.0
509,509,509,CÔNG TY TNHH ĐẦU TƯ PHẮT TRIỂN AN LỌC,1.465.275.856,,1465275856.0
510,510,510,CÔNG TY CP THƯƠNG MAI HMH VIỆT NAM,1.461.420.000,,1461420000.0
511,511,511,CÔNG TY TNHH MTV SỦA CHỦA VÀ CHÓNG THÂM SK SUMO,1.455.178.185,,1455178185.0
512,512,512,CÔNG TY TNHH ĐỊCH VỤ VÀ XÃY DỰNG HỮU PHƯỚC,1.451.213.731,,1451213731.0
513,513,513,CÔNG TY TNHH FUTURE,1.444.973.648,,1444973648.0
514,514,514,CÔNG TY CỔ PHẦN CƠ KHĨ KỸ THUAT XÃY DỰNG BISCO,1.435.326.285,,1435326285.0
515,515,515,CÔNG TY TNHH SX VÀ TM MA VI NA,1.434.369.551,,1434369551.0
516,516,516,CÔNG TY TNHH SẢN XUẤT THƯƠNG MAI ĐỊCH VỤ HME,1.426.842.411,,1426842411.0
517,517,517,CÔNG TY CP THƯƠNG MAI VÀ TƯ VĂN TRẮC ĐỊA PHƯƠNG LINH,1.424.052.589,,1424052589.0
518,518,518,CÔNG TY TNHH THƯƠNG MAI VÀ ĐẦU TƯ XÃY DỰNG BÌNH AN PHẮT,1.421.831.252,,1421831252.0
519,519,519,CÔNG TY TNHH RETRO-MAX VIỆT NAM,1.421.768.479,,1421768479.0
520,520,520,CÔNG TY TNHH SX TM DV GIA QUẢNG,1.420.825.375,,1420825375.0
521,521,521,CÔNG TY CỔ PHẦN KHO KIÓN VIỆT,1.420.544.627,,1420544627.0
522,522,522,CÔNG TY TNHH HAIFA,1.410.167.476,,1410167476.0
523,523,523,CÔNG TY CỔ PHẦN NAM VIỆT ỨC,1.409.478.132,,1409478132.0
524,524,524,CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MAI VÀ XÃY DỰNG HÀ AN,1.401.170.095,,1401170095.0
525,525,525,CÔNG TY CỔ PHẦN LIÊN DOANH THẢI BÌNH DƯƠNG,1.399.026.297,,1399026297.0
526,526,526,CÔNG TY CỔ PHẦN TUỒNG KÍNH TID,1.391.406.992,,1391406992.0
527,527,527,CÔNG TY TNHH SẢN XUẤT TM ÁNH DƯƠNG,1.388.483.470,,1388483470.0
528,528,528,CÔNG TY TNHH ĐẦU TƯ XD VÀ TM BÌNH PHẮT HÀ NỘI,1.379.407.739,,1379407739.0
529,529,529,CÔNG TY CỔ PHẦN AKA VIỆT NAM,1.372.185.781,,1372185781.0
530,530,530,CÔNG TY TNHH TM XÃY DỰNG NHÂN LỰC,1.371.210.182,,1371210182.0
531,531,531,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÃY DỰNG HITECON,1.370.617.883,,1370617883.0
532,532,532,CÔNG TY TNHH TM VÀ DV BẢO VỆ BẢO NGỌC,1.368.928.479,,1368928479.0
533,533,533,CÔNG TY TNHH XÃY DỰNG LÊ ÚT MƯỜI,1.363.653.773,,1363653773.0
534,534,534,CÔNG TY TNHH THƯƠNG MAI VÀ XÃY DỰNG BSH,1.360.739.688,,1360739688.0
535,535,535,CÔNG TY TNHH TM DV XÃY DỰNG AN PHẮT,1.359.084.577,,1359084577.0
536,536,536,CÔNG TY TNHH METAL - MART VIỆT NAM,1.350.992.351,,1350992351.0
537,537,537,CÔNG TY TNHH VINACONT,1.350.712.522,,1350712522.0
538,538,538,CÔNG TY CỔ PHẦN NH ÔM KÍNH VÀ ĐẦU TƯ TRƯỞNG GIANG,1.350.035.208,,1350035208.0
539,539,539,CÔNG TY TNHH ĐẦU TƯ XÃY DỰNG AN TOẠN TQ,1.348.194.395,,1348194395.0
540,540,540,CÔNG TY TNHH ĐIỂM VUI CHɔI VIỆT,1.335.492.387,,1335492387.0
541,541,541,CÔNG TY TNHH XÃY DỰNG THƯƠNG MAI ANH TIÊNG,1.327.051.531,,1327051531.0
542,542,542,CÔNG TY TNHH KỸ NGHỆ AMS,1.325.540.892,,1325540892.0
543,543,543,CÔNG TY TNHH KỸ THUẬT THIẾT BI VÀ GIẢI PHÁP XANH,1.323.412.560,,1323412560.0
544,544,544,CÔNG TY CỔ PHẦN CÔNG NGHỆ CỦA SACOM,1.319.916.763,,1319916763.0
545,545,545,CÔNG TY TNHH HĂNG KIỂM TOẠN AASC,1.319.500.000,,1319500000.0
546,546,546,CÔNG TY TNHH QUỐC TẾ JIWN JANN,1.316.399.364,,1316399364.0
547,547,547,CÔNG TY CP KỸ THUẬT LONG GIANG,1.312.885.078,,1312885078.0
