row_label_raw,row_label_full,5.4,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,31/12/2024VND,01/01/2024VND,numeric__Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,numeric__31/12/2024VND,numeric__01/01/2024VND
5.4,5.4,5.4,Bên liên quan,1.305.174.480,2.542.725.924,,1305174480.0,2542725924.0
5.4,5.4,5.4,Công ty CP Tiến phát Sanyo Homes,429.436.704,2.542.725.924,,429436704.0,2542725924.0
5.4,5.4,5.4,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,875.737.776,-,,875737776.0,
5.4,5.4,5.4,Bên khác,2.242.586.509.083,3.077.330.735.505,,2242586509083.0,3077330735505.0
5.4,5.4,5.4,Công ty CP Gamuda Land (HCMC),15.627.616.659,342.587.177.616,,15627616659.0,342587177616.0
5.4,5.4,5.4,Công ty CP Tập đoàn Ecopark,91.728.437.901,193.653.920.518,,91728437901.0,193653920518.0
5.4,5.4,5.4,Công ty CP Kinh doanh và Xây dựng Quang Minh,124.490.373.682,124.490.373.682,,124490373682.0,124490373682.0
5.4,5.4,5.4,Công ty TNHH MTV Đầu tư Phát triển Gia Cư,14.528.570.235,117.341.148.812,,14528570235.0,117341148812.0
5.4,5.4,5.4,Công ty CP Quốc Lộc Phát,-,99.171.630.796,,,99171630796.0
5.4,5.4,5.4,Công ty CP Capitaland - Hiền Đức,104.731.883.768,88.279.570.661,,104731883768.0,88279570661.0
5.4,5.4,5.4,Công ty CP Thái - Holding,150.250.228.764,84.100.909.917,,150250228764.0,84100909917.0
5.4,5.4,5.4,Các Khách hàng khác,1.741.229.398.074,2.027.706.003.503,,1741229398074.0,2027706003503.0
5.4,5.4,5.4,,2.243.891.683.563,3.079.873.461.429,,2243891683563.0,3079873461429.0
5.4,5.4,5.4,Dư phòng phải thu khó đòi,(453.471.678.812),(518.089.644.991),,-453471678812.0,-518089644991.0
5.4,5.4,5.4,Giá trị thuần,1.790.420.004.751,2.561.783.816.438,,1790420004751.0,2561783816438.0
