row_label_raw,row_label_full,5.9,Hàng tòn kho,31/12/2024 > Giá trị VND,31/12/2024 > Dự phòng VND,01/01/2024 > Giá trị VND,01/01/2024 > Dự phòng VND,numeric__Hàng tòn kho,numeric__31/12/2024 > Giá trị VND,numeric__31/12/2024 > Dự phòng VND,numeric__01/01/2024 > Giá trị VND,numeric__01/01/2024 > Dự phòng VND
,,,"Nguyên liệu, vật liệu",679.858.672.532,-,524.699.522.864,-,,679858672532.0,,524699522864.0,
,,,"Công cụ, dụng cụ",15.862.072.292,-,14.541.059.771,-,,15862072292.0,,14541059771.0,
,,,"Chi phí SX, KD dở dang",517.464.838.961,(15.970.716.277),436.615.565.303,(31.835.167.147),,517464838961.0,-15970716277.0,436615565303.0,-31835167147.0
,,,- Bất động sản (i),156.201.415.402,-,154.083.565.659,-,,156201415402.0,,154083565659.0,
,,,- Xây lắp,361.263.423.559,(15.970.716.277),282.531.999.644,(31.835.167.147),,361263423559.0,-15970716277.0,282531999644.0,-31835167147.0
,,,Hàng hoá,299.880.064.251,-,94.964.470.667,-,,299880064251.0,,94964470667.0,
,,,,1.513.065.648.036,(15.970.716.277),1.070.820.618.605,(31.835.167.147),,1513065648036.0,-15970716277.0,1070820618605.0,-31835167147.0
