row_label_raw,row_label_full,Tổ chức thu xếp phát hành > Công ty Chứng khoán ACB > Công ty CP Chứng khoán Ngân hàng TMCP Công Thương Việt Nam,Số dư cuối năm VND > 376.000.000.000 > 14.000.000.000 > 86.000.000.000 > 24.600.000.000,Trái chủ > Ngân hàng TMCP Hàng Hải Việt Nam - Chi nhánh Hồ Chí Minh > Quỹ Đầu Tư Hạ Tầng PVI > Quỹ Đầu Tư Cơ Hội PVI > Công ty Cổ Phần Chứng khoán Ngân hàng TMCP Công Thương Việt Nam,Mục đích phát hành > Bổ sung vốn lưu động,Ngày đáo hạn > Ngày 30 tháng 12 năm 2026 > Ngày 27 tháng 01 năm 2025 > Ngày 31 tháng 10 năm 2025,"Hình thức đảm bảo > Các khoản tương đương tiền, cổ phiếu của Công ty, Giấy chứng nhận quyền sử dụng đất > Bảo lãnh thanh toán của Ngân hàng TMCP Hàng Hải Việt Nam > Tiền gửi có kỳ hạn, máy móc thiết bị",numeric__Số dư cuối năm VND > 376.000.000.000 > 14.000.000.000 > 86.000.000.000 > 24.600.000.000,numeric__Trái chủ > Ngân hàng TMCP Hàng Hải Việt Nam - Chi nhánh Hồ Chí Minh > Quỹ Đầu Tư Hạ Tầng PVI > Quỹ Đầu Tư Cơ Hội PVI > Công ty Cổ Phần Chứng khoán Ngân hàng TMCP Công Thương Việt Nam,numeric__Mục đích phát hành > Bổ sung vốn lưu động,numeric__Ngày đáo hạn > Ngày 30 tháng 12 năm 2026 > Ngày 27 tháng 01 năm 2025 > Ngày 31 tháng 10 năm 2025,"numeric__Hình thức đảm bảo > Các khoản tương đương tiền, cổ phiếu của Công ty, Giấy chứng nhận quyền sử dụng đất > Bảo lãnh thanh toán của Ngân hàng TMCP Hàng Hải Việt Nam > Tiền gửi có kỳ hạn, máy móc thiết bị"
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(4.288.000.000),,,,,-4288000000.0,,,,
Cộng,Cộng,Cộng,496.312.000.000,,,,,496312000000.0,,,,
