row_label_raw,row_label_full,Bản thuyết minh này là một bộ phân không thể tách rời được đọc cùng với các báo cáo tài chính dính kèm.,Bản thuyết minh này là một bộ phân không thể tách rời được đọc cùng với các báo cáo tài chính dính kèm._1,Bản thuyết minh này là một bộ phân không thể tách rời được đọc cùng với các báo cáo tài chính dính kèm._2,Bản thuyết minh này là một bộ phân không thể tách rời được đọc cùng với các báo cáo tài chính dính kèm._3,Bản thuyết minh này là một bộ phân không thể tách rời được đọc cùng với các báo cáo tài chính dính kèm._4,Bản thuyết minh này là một bộ phân không thể tách rời được đọc cùng với các báo cáo tài chính dính kèm._5,numeric__Bản thuyết minh này là một bộ phân không thể tách rời được đọc cùng với các báo cáo tài chính dính kèm._1,numeric__Bản thuyết minh này là một bộ phân không thể tách rời được đọc cùng với các báo cáo tài chính dính kèm._2,numeric__Bản thuyết minh này là một bộ phân không thể tách rời được đọc cùng với các báo cáo tài chính dính kèm._3,numeric__Bản thuyết minh này là một bộ phân không thể tách rời được đọc cùng với các báo cáo tài chính dính kèm._4,numeric__Bản thuyết minh này là một bộ phân không thể tách rời được đọc cùng với các báo cáo tài chính dính kèm._5
,,,Vốn góp của chủ sở hữuVND,Thặng dư vốn cổ phầnVND,Quỹ đầu tư phát triểnVND,Lợi nhuận sau thuế chưa phân phốiVND,CộngVND,,,,,
Số dư tại 01/01/2023,Số dư tại 01/01/2023,Số dư tại 01/01/2023,2.741.332.700.000,458.969.112.981,94.548.441.157,(1.452.327.711.277),1.842.522.542.861,2741332700000.0,458969112981.0,94548441157.0,-1452327711277.0,1842522542861.0
Lỗ trong năm,Lỗ trong năm,Lỗ trong năm,-,-,-,(949.115.254.620),(949.115.254.620),,,,-949115254620.0,-949115254620.0
Số dư tại 31/12/2023,Số dư tại 31/12/2023,Số dư tại 31/12/2023,2.741.332.700.000,458.969.112.981,94.548.441.157,(2.401.442.965.897),893.407.288.241,2741332700000.0,458969112981.0,94548441157.0,-2401442965897.0,893407288241.0
Số dư tại 01/01/2024,Số dư tại 01/01/2024,Số dư tại 01/01/2024,2.741.332.700.000,458.969.112.981,94.548.441.157,(2.401.442.965.897),893.407.288.241,2741332700000.0,458969112981.0,94548441157.0,-2401442965897.0,893407288241.0
Tăng vốn từ phát hành cổ phiếu hoán đổi nợ,Tăng vốn từ phát hành cổ phiếu hoán đổi nợ,Tăng vốn từ phát hành cổ phiếu hoán đổi nợ,730.800.000.000,-,-,-,730.800.000.000,730800000000.0,,,,730800000000.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,-,913.254.535.361,913.254.535.361,,,,913254535361.0,913254535361.0
Giảm khác,Giảm khác,Giảm khác,-,(400.000.000),-,-,(400.000.000),,-400000000.0,,,-400000000.0
Số dư tại 31/12/2024,Số dư tại 31/12/2024,Số dư tại 31/12/2024,3.472.132.700.000,458.569.112.981,94.548.441.157,(1.488.188.430.536),2.537.061.823.602,3472132700000.0,458569112981.0,94548441157.0,-1488188430536.0,2537061823602.0
