row_label_raw,row_label_full,Tên,Chức vụ,Năm 2024VND,Năm 2023VND,numeric__Chức vụ,numeric__Năm 2024VND,numeric__Năm 2023VND
Ông Lê Viết Hải,Ông Lê Viết Hải,Ông Lê Viết Hải,Chủ tịch HĐQT,1.845.713.532,1.997.202.660,,1845713532.0,1997202660.0
Ông David Martin Ruiz,Ông David Martin Ruiz,Ông David Martin Ruiz,Thành viên HĐQT độc lập (thời chức vụ từ ngày 27/06/2023),-,972.870.474,,,972870474.0
Ông Lê Viết Hiếu,Ông Lê Viết Hiếu,Ông Lê Viết Hiếu,Phó Chủ tịch HĐQT kiểm Phó Tổng Giám đốc thường trực,1.779.849.200,1.921.008.966,,1779849200.0,1921008966.0
Ông Lê Văn Nam,Ông Lê Văn Nam,Ông Lê Văn Nam,Thành viên HĐQT kiểm Tổng Giám đốc (bố nhiệm ngày 1/06/2023),1.845.713.532,1.071.576.497,,1845713532.0,1071576497.0
Ông Nguyễn Tấn Thọ,Ông Nguyễn Tấn Thọ,Ông Nguyễn Tấn Thọ,Phó Tổng Giám đốc miễn nhiệm 30/04/2024,413.681.222,1.331.307.205,,413681222.0,1331307205.0
Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Phó Tổng Giám đốc Phó Tổng Giám đốc miễn nhiệm 21/09/2024,747.758.860,1.331.307.205,,747758860.0,1331307205.0
Ông Nguyễn Khánh Hoàng,Ông Nguyễn Khánh Hoàng,Ông Nguyễn Khánh Hoàng,Phó Tổng Giám đốc,1.013.098.363,518.106.995,,1013098363.0,518106995.0
Ông Đình Văn Thanh,Ông Đình Văn Thanh,Ông Đình Văn Thanh,Phó Tổng Giám đốc,627.325.344,647.367.367,,627325344.0,647367367.0
Ông Lê Văn Viên,Ông Lê Văn Viên,Ông Lê Văn Viên,Phó Tổng Giám đốc bổ nhiệm 01/05/2024 và miễn nhiệm 01/03/2025,574.234.738,-,,574234738.0,
Ông Nguyễn Kinh Luân,Ông Nguyễn Kinh Luân,Ông Nguyễn Kinh Luân,Phó Tổng Giám đốc bổ nhiệm 01/11/2024,542.048.892,-,,542048892.0,
Ông Trương Quang Nhật,Ông Trương Quang Nhật,Ông Trương Quang Nhật,Phó Tổng Giám đốc miễn nhiệm 18/05/2023,-,802.093.349,,,802093349.0
Ông Dương Đình Thanh,Ông Dương Đình Thanh,Ông Dương Đình Thanh,Phó Tổng Giám đốc miễn nhiệm 23/03/2023,-,506.760.740,,,506760740.0
Bà Nguyễn Thị Kim Loan,Bà Nguyễn Thị Kim Loan,Bà Nguyễn Thị Kim Loan,Giám đốc tài chính tải bổ nhiệm 02/08/2024,885.371.108,95.424.752,,885371108.0,95424752.0
Bà Lê Thị Thu Trang,Bà Lê Thị Thu Trang,Bà Lê Thị Thu Trang,Kế toán trường bổ nhiệm 01/11/2024,109.907.021,-,,109907021.0,
,,,,10.384.701.812,11.195.026.210,,10384701812.0,11195026210.0
