row_label_raw,row_label_full,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 5.15 Phải trả người bán ngắn hạn (tiếp theo),Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 31/12/2024 > Giá trị VND,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 31/12/2024 > Số có khả năng trả nợ VND,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 01/01/2024 > Giá trị VND,Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 01/01/2024 > Số có khả năng trả nợ VND,numeric__Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 31/12/2024 > Giá trị VND,numeric__Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 31/12/2024 > Số có khả năng trả nợ VND,numeric__Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 01/01/2024 > Giá trị VND,numeric__Bản thuyết minh này là một bộ phận không thể tách rời được đọc cùng với các báo cáo tài chính đinh kèm. > 01/01/2024 > Số có khả năng trả nợ VND
Bên khác,Bên khác,Bên khác,3.905.968.411.336,3.905.968.411.336,4.636.481.109.499,4.636.481.109.499,3905968411336.0,3905968411336.0,4636481109499.0,4636481109499.0
Công ty CP Cơ khí và Nhôm kinh Anh Việt,Công ty CP Cơ khí và Nhôm kinh Anh Việt,Công ty CP Cơ khí và Nhôm kinh Anh Việt,36.538.762.720,36.538.762.720,-,-,36538762720.0,36538762720.0,,
Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,44.393.216.368,44.393.216.368,-,-,44393216368.0,44393216368.0,,
Công ty CP Kỹ thuật Jesco Hòa Bình,Công ty CP Kỹ thuật Jesco Hòa Bình,Công ty CP Kỹ thuật Jesco Hòa Bình,39.842.624.314,39.842.624.314,-,-,39842624314.0,39842624314.0,,
Công ty CP Hawee Cơ Điện,Công ty CP Hawee Cơ Điện,Công ty CP Hawee Cơ Điện,46.624.944.468,46.624.944.468,100.717.893.646,100.717.893.646,46624944468.0,46624944468.0,100717893646.0,100717893646.0
Công ty CP Thép Povina,Công ty CP Thép Povina,Công ty CP Thép Povina,23.828.109.471,23.828.109.471,92.658.608.256,92.658.608.256,23828109471.0,23828109471.0,92658608256.0,92658608256.0
Công ty CP BM Windows,Công ty CP BM Windows,Công ty CP BM Windows,47.090.969.488,47.090.969.488,99.106.583.993,99.106.583.993,47090969488.0,47090969488.0,99106583993.0,99106583993.0
Công ty CP Đầu tư Thương mại và Kỹ thuật Hòa Bình,Công ty CP Đầu tư Thương mại và Kỹ thuật Hòa Bình,Công ty CP Đầu tư Thương mại và Kỹ thuật Hòa Bình,53.078.529.024,53.078.529.024,90.555.998.712,90.555.998.712,53078529024.0,53078529024.0,90555998712.0,90555998712.0
Công ty CP Kỹ thuật và Xây dựng Searefico,Công ty CP Kỹ thuật và Xây dựng Searefico,Công ty CP Kỹ thuật và Xây dựng Searefico,43.448.820.323,43.448.820.323,81.233.047.008,81.233.047.008,43448820323.0,43448820323.0,81233047008.0,81233047008.0
Công ty CP Cửa Sunspace,Công ty CP Cửa Sunspace,Công ty CP Cửa Sunspace,17.869.425.377,17.869.425.377,64.945.977.664,64.945.977.664,17869425377.0,17869425377.0,64945977664.0,64945977664.0
Công ty CP DV & KT Cơ điện lạnh R.E.E,Công ty CP DV & KT Cơ điện lạnh R.E.E,Công ty CP DV & KT Cơ điện lạnh R.E.E,50.707.184.793,50.707.184.793,2.834.429.978,2.834.429.978,50707184793.0,50707184793.0,2834429978.0,2834429978.0
Các người bán khác,Các người bán khác,Các người bán khác,3.502.545.824.990,3.502.545.824.990,4.104.428.570.242,4.104.428.570.242,3502545824990.0,3502545824990.0,4104428570242.0,4104428570242.0
,,,3.964.256.936.464,3.964.256.936.464,4.874.882.372.833,4.874.882.372.833,3964256936464.0,3964256936464.0,4874882372833.0,4874882372833.0
