row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Năm 2024 VND,Năm 2023 VND,numeric__Mã số,numeric__Năm 2024 VND,numeric__Năm 2023 VND
III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của CSH","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của CSH","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của CSH",31,-,-,31.0,,
"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,-,-,32.0,,
3. Tiền thu từ đi vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền thu từ đi vay,3. Tiền thu từ đi vay,33,3.297.636.755.863,3.128.808.277.190,33.0,3297636755863.0,3128808277190.0
4. Tiền trả nợ gốc vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Tiền trả nợ gốc vay,4. Tiền trả nợ gốc vay,34,(3.751.059.487.428),(4.545.446.070.701),34.0,-3751059487428.0,-4545446070701.0
5. Tiền trả nợ gốc thuê tài chính,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 5. Tiền trả nợ gốc thuê tài chính,5. Tiền trả nợ gốc thuê tài chính,36,-,-,36.0,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,-,-,36.0,,
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(453.422.731.565),(1.416.637.793.511),40.0,-453422731565.0,-1416637793511.0
Lưu chuyển tiền thuần trong năm (50 = 20+ 30 + 40),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50 = 20+ 30 + 40),Lưu chuyển tiền thuần trong năm (50 = 20+ 30 + 40),50,(46.901.916.952),(174.437.580.724),50.0,-46901916952.0,-174437580724.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,281.535.495.972,455.970.508.721,60.0,281535495972.0,455970508721.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,2.113.563,2.567.975,61.0,2113563.0,2567975.0
Tiền và tương đương tiền cuối năm (70 = 50+60+61),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70 = 50+60+61),Tiền và tương đương tiền cuối năm (70 = 50+60+61),70,234.635.692.583,281.535.495.972,70.0,234635692583.0,281535495972.0
