row_label_raw,row_label_full,Công ty nhận đầu tư,Trụ sở chính,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Tình trạng hoạt động,Hoạt động kinh doanh chính,numeric__Trụ sở chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Tình trạng hoạt động,numeric__Hoạt động kinh doanh chính
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,
Công ty CP Nhà Hòa Bình,Công ty con > Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Thành phố Hồ Chí Minh,"99,96%","99,96%",Đang hoạt động,Kinh doanh và phát triển các dự án bất động sản,,0.9995999999999999,0.9995999999999999,,
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty con > Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Long An,"97,97%","97,97%",Đang hoạt động,"Đầu tư, xây dựng khu công nghiệp",,0.9797,0.9797,,
Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty con > Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Thành phố Hồ Chí Minh,"74,58%","74,58%",Đang hoạt động,"Sản xuất, mua bán vật liệu xây dựng; và cung cấp dịch vụ trang trí nội thất",,0.7458,0.7458,,
Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty con > Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Thành phố Hồ Chí Minh,"75,00%","75,00%",Đang hoạt động,"Cung cấp dịch vụ thiết kế kiến trúc và tư vấn thiết kế, xây dựng",,0.75,0.75,,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Myanmar,"100,00%","100,00%",Đang hoạt động,"Thiết kế, xây dựng và cung cấp dịch vụ giám định kỹ thuật, quản lý xây dựng và quản lý dự án",,1.0,1.0,,
Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,,,,,Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học kỹ thuật và công nghệ,,,,,
Công ty TNHH MTV Trung tâm đối mới sáng tạo Hòa Bình,Công ty TNHH Hòa Bình Myanmar > Công ty TNHH MTV Trung tâm đối mới sáng tạo Hòa Bình,Công ty TNHH MTV Trung tâm đối mới sáng tạo Hòa Bình,Thành phố Hồ Chí Minh,"100,00%","100,00%",Đang hoạt động,"Tư vấn xây dựng, khảo sát công trình, thiết kế kiến trúc công trình",,1.0,1.0,,
Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Hòa Bình Myanmar > Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Thành phố Hồ Chí Minh,"51,00%","51,00%",Đang hoạt động,"Cho thuê, quản lý tòa nhà văn phòng",,0.51,0.51,,
Công ty Cổ Phần Thương Maji Và Đầu Tư Pax,Công ty TNHH Hòa Bình Myanmar > Công ty Cổ Phần Thương Maji Và Đầu Tư Pax,Công ty Cổ Phần Thương Maji Và Đầu Tư Pax,Thành phố Hồ Chí Minh,"98,59%","98,59%",Đang hoạt động,Xây dựng công trình đường sắt và đường bộ,,0.9859,0.9859,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,
Công ty CP 479 Hòa Bình,Công ty liên kết > Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Nghệ An,"35,25%","35,25%",Đang hoạt động,"Cung cấp dịch vụ trang trí nội thất, mua bản vật liệu và thiết bị lắp đặt trong xây dựng",,0.3525,0.3525,,
Công ty CP Trang trí Nội thất Onwa Tech (**),Công ty liên kết > Công ty CP Trang trí Nội thất Onwa Tech (**),Công ty CP Trang trí Nội thất Onwa Tech (**),Thành phố Hồ Chí Minh,"25,53%","25,53%",Đang hoạt động,"Cung cấp dịch vụ trang trí nội thất, mua bản vật liệu và thiết bị lắp đặt trong xây dựng",,0.2553,0.2553,,
