row_label_raw,row_label_full,Phải thu khác chi tiết theo đối tượng như sau:,31/12/2024 > Giá trị VND,31/12/2024 > Dự phòng VND,01/01/2024 > Giá trị VND,01/01/2024 > Dự phòng VND,numeric__31/12/2024 > Giá trị VND,numeric__31/12/2024 > Dự phòng VND,numeric__01/01/2024 > Giá trị VND,numeric__01/01/2024 > Dự phòng VND
Bên liên quan,Bên liên quan,Bên liên quan,591.011.066.185,(79.805.743.241),766.392.944.474,(15.365.183.677),591011066185.0,-79805743241.0,766392944474.0,-15365183677.0
Ông Lê Việt Hải và Bà Bùi Ngọc Mai,Ông Lê Việt Hải và Bà Bùi Ngọc Mai,Ông Lê Việt Hải và Bà Bùi Ngọc Mai,120.000.000.000,-,120.000.000.000,-,120000000000.0,,120000000000.0,
Bà Phạm Thị Quốc Hương (*),Bà Phạm Thị Quốc Hương (*),Bà Phạm Thị Quốc Hương (*),386.385.063.700,(12.600.000.000),527.058.125.512,(12.600.000.000),386385063700.0,-12600000000.0,527058125512.0,-12600000000.0
Quản lí chủ chốt,Quản lí chủ chốt,Quản lí chủ chốt,-,-,21.158.283.442,(2.765.183.677),,,21158283442.0,-2765183677.0
Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,67.206.743.241,(67.206.743.241),67.206.743.241,-,67206743241.0,-67206743241.0,67206743241.0,
Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,7.413.092.247,-,7.413.092.247,-,7413092247.0,,7413092247.0,
Công ty CP Cơ khí Nhôm kinh Anh Việt,Công ty CP Cơ khí Nhôm kinh Anh Việt,Công ty CP Cơ khí Nhôm kinh Anh Việt,-,-,10.862.438.627,-,,,10862438627.0,
Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,2.740.524.657,-,5.534.467.809,-,2740524657.0,,5534467809.0,
Công ty CP Trang trí nổi thất Onwa Tech,Công ty CP Trang trí nổi thất Onwa Tech,Công ty CP Trang trí nổi thất Onwa Tech,1.944.918.073,-,1.940.418.073,-,1944918073.0,,1940418073.0,
Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,2.498.684.358,-,2.143.379.760,-,2498684358.0,,2143379760.0,
Công ty CP Đầu tư và Phát triển Hòa Yên,Công ty CP Đầu tư và Phát triển Hòa Yên,Công ty CP Đầu tư và Phát triển Hòa Yên,1.382.536.766,-,1.382.536.766,-,1382536766.0,,1382536766.0,
Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,-,-,765.730.255,-,,,765730255.0,
Chi Nhánh Công ty Cổ phần Sơn và Chất phủ Hòa Bình tại Hưng Yên,Chi Nhánh Công ty Cổ phần Sơn và Chất phủ Hòa Bình tại Hưng Yên,Chi Nhánh Công ty Cổ phần Sơn và Chất phủ Hòa Bình tại Hưng Yên,194.957.788,-,194.957.788,-,194957788.0,,194957788.0,
Công ty CP Đầu tư Phát Triển Hòa Bình Huế,Công ty CP Đầu tư Phát Triển Hòa Bình Huế,Công ty CP Đầu tư Phát Triển Hòa Bình Huế,169.519.247,-,169.519.247,-,169519247.0,,169519247.0,
Công ty CP Interhouse LA,Công ty CP Interhouse LA,Công ty CP Interhouse LA,312.261.351,-,151.669.500,-,312261351.0,,151669500.0,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,50.000.000,-,50.000.000,-,50000000.0,,50000000.0,
Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,256.014.757,-,90.000.000,-,256014757.0,,90000000.0,
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,391.750.000,-,141.882.207,-,391750000.0,,141882207.0,
Công ty TNHH MTV Pax Sky Sài Gòn,Công ty TNHH MTV Pax Sky Sài Gòn,Công ty TNHH MTV Pax Sky Sài Gòn,65.000.000,-,65.000.000,-,65000000.0,,65000000.0,
Công ty TNHH MTV Mây Xây dựng Matec,Công ty TNHH MTV Mây Xây dựng Matec,Công ty TNHH MTV Mây Xây dựng Matec,-,-,64.700.000,-,,,64700000.0,
