row_label_raw,row_label_full,Cá nhân/ Công ty,Địa điểm,Quan hệ,numeric__Địa điểm,numeric__Quan hệ
Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Việt Nam,Công ty con,,
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Việt Nam,Công ty con,,
Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Việt Nam,Công ty con,,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Việt Nam,Công ty con,,
Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Việt Nam,Công ty con,,
Công ty TNHH MTV Trung tâm đối mới sáng tạo Hòa Bình,Công ty TNHH MTV Trung tâm đối mới sáng tạo Hòa Bình,Công ty TNHH MTV Trung tâm đối mới sáng tạo Hòa Bình,Việt Nam,Công ty con,,
,,,,Công ty con đến ngày 25/03/2024,,
Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Việt Nam,Công ty con đến ngày 25/03/2024,,
Công ty CP Bất đông sản Okamura Sanyo,Công ty CP Bất đông sản Okamura Sanyo,Công ty CP Bất đông sản Okamura Sanyo,Việt Nam,Công ty con,,
Công ty TNHH MTV Pax Sky Sài Gòn,Công ty TNHH MTV Pax Sky Sài Gòn,Công ty TNHH MTV Pax Sky Sài Gòn,Việt Nam,Công ty con,,
Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,Việt Nam,Công ty con,,
