row_label_raw,row_label_full,Chi tiết dự phòng theo tiền độ kế hoạch hợp đồng xây dựng,31/12/2024VND,01/01/2024VND,numeric__31/12/2024VND,numeric__01/01/2024VND
Công ty CP Kinh doanh và Xây dựng Quang Minh,Công ty CP Kinh doanh và Xây dựng Quang Minh,Công ty CP Kinh doanh và Xây dựng Quang Minh,124.490.373.682,124.490.373.682,124490373682.0,124490373682.0
Các Khách hàng khác,Các Khách hàng khác,Các Khách hàng khác,328.981.305.130,393.599.271.309,328981305130.0,393599271309.0
,,,453.471.678.812,518.089.644.991,453471678812.0,518089644991.0
