row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyếtmình,31/12/2024VND,01/01/2024VND,numeric__Mã số,numeric__Thuyếtmình,numeric__31/12/2024VND,numeric__01/01/2024VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
A - TÀI SẢN NGĂN HẠN,TÀI SẢN > A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,13.314.979.999.291,13.246.131.900.299,100.0,,13314979999291.0,13246131900299.0
I. Tiền và các khoản tương đương tiền,TÀI SẢN > I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5.1,234.635.692.583,281.535.495.972,110.0,51.0,234635692583.0,281535495972.0
1. Tiền,TÀI SẢN > 1. Tiền,1. Tiền,111,,234.635.692.583,274.477.525.276,111.0,,234635692583.0,274477525276.0
2. Các khoản tương đương tiền,TÀI SẢN > 2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,-,7.057.970.696,112.0,,,7057970696.0
II. Các khoản đầu tư tài chính ngắn hạn,TÀI SẢN > II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,120,,11.443.641.863,11.443.641.863,120.0,,11443641863.0,11443641863.0
1. Chứng khoán kinh doanh,TÀI SẢN > 1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,-,-,121.0,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,TÀI SẢN > 2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,122.0,,,
3. Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > 3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,123,,11.443.641.863,11.443.641.863,123.0,,11443641863.0,11443641863.0
II. Các khoản phải thu ngắn hạn,TÀI SẢN > II. Các khoản phải thu ngắn hạn,II. Các khoản phải thu ngắn hạn,130,,11.558.395.378.258,11.899.704.929.493,130.0,,11558395378258.0,11899704929493.0
