row_label_raw,row_label_full,Bên liên quan khác,Tỉnh chất giao dịch,Năm 2024 VND,Năm 2023 VND,numeric__Tỉnh chất giao dịch,numeric__Năm 2024 VND,numeric__Năm 2023 VND
Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Đặt cọc thuê văn phòng,16.457.245.200,2.793.943.152,,16457245200.0,2793943152.0
Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Mua dịch vụ thuê văn phòng,11.003.294.323,31.666.466,,11003294323.0,31666466.0
Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Lãi phát sinh từ cho vay,72.195.843.557,34.039.077.843,,72195843557.0,34039077843.0
Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Cho vay,72.195.843.557,-,,72195843557.0,
Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Thu tiền cho vay,24.224.561.424,-,,24224561424.0,
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Đi vay,326.418.230.178,-,,326418230178.0,
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Trả tiền đi vay,205.411.482.584,-,,205411482584.0,
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Mua dịch vụ,18.643.602.000,-,,18643602000.0,
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Thu tiền thanh lý phế liệu,321.750.000,-,,321750000.0,
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Cổ tức được chia,-,45.248.859.371,,,45248859371.0
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Lãi đi vay,71.882.207,492.229.164,,71882207.0,492229164.0
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Ứng trước người bán,114.580.320.806,-,,114580320806.0,
Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Lãi đi vay,614.178.083,503.424.659,,614178083.0,503424659.0
Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Mua dịch vụ,61.056.969,1.245.091.273,,61056969.0,1245091273.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Mua dịch vụ,100.000.000,3.483.820.409,,100000000.0,3483820409.0
Công ty TNHH MTV Trung tâm đối mới sáng tạo Hòa Bình,Công ty TNHH MTV Trung tâm đối mới sáng tạo Hòa Bình,Công ty TNHH MTV Trung tâm đối mới sáng tạo Hòa Bình,Gộp vốn,433.907.733,-,,433907733.0,
