row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2024 VND,Năm 2023 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2024 VND,numeric__Năm 2023 VND
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,5.317.288.131.889,7.273.062.081.215,1.0,61.0,5317288131889.0,7273062081215.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,6.1,5.317.288.131.889,7.273.062.081.215,10.0,61.0,5317288131889.0,7273062081215.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,6.2,5.166.475.166.469,7.058.370.375.025,11.0,62.0,5166475166469.0,7058370375025.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,150.812.965.420,214.691.706.190,20.0,,150812965420.0,214691706190.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,6.3,341.773.595.142,92.725.820.602,21.0,63.0,341773595142.0,92725820602.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,6.4,346.542.442.897,590.091.027.534,22.0,64.0,346542442897.0,590091027534.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,395.349.976.304,540.249.396.617,23.0,,395349976304.0,540249396617.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,,-,-,25.0,,,
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,6.5,(168.103.883.799),687.621.780.258,26.0,65.0,-168103883799.0,687621780258.0
10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,30,,314.148.001.464,(970.295.281.000),30.0,,314148001464.0,-970295281000.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,6.6,607.960.386.052,41.492.126.122,31.0,66.0,607960386052.0,41492126122.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,6.7,8.237.428.822,19.513.420.409,32.0,67.0,8237428822.0,19513420409.0
13. Lợi nhuận khác,13. Lợi nhuận khác,13. Lợi nhuận khác,40,,599.722.957.230,21.978.705.713,40.0,,599722957230.0,21978705713.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,,913.870.958.694,(948.316.575.287),50.0,,913870958694.0,-948316575287.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,6.9,-,-,51.0,69.0,,
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,,616.423.333,798.679.333,52.0,,616423333.0,798679333.0
17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,913.254.535.361,(949.115.254.620),60.0,,913254535361.0,-949115254620.0
