row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phần mềm quản lý VND,TSCĐ vô hình khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm quản lý VND,numeric__TSCĐ vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,39.790.252.840,19.310.767.608,1.216.005.358,60.317.025.806,39790252840.0,19310767608.0,1216005358.0,60317025806.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,100.000.000,-,100.000.000,,100000000.0,,100000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,39.790.252.840,19.410.767.608,1.216.005.358,60.417.025.806,39790252840.0,19410767608.0,1216005358.0,60417025806.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,18.623.660.970,1.216.005.358,19.839.666.328,,18623660970.0,1216005358.0,19839666328.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,464.587.491,-,464.587.491,,464587491.0,,464587491.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,19.088.248.461,1.216.005.358,20.304.253.819,,19088248461.0,1216005358.0,20304253819.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,39.790.252.840,687.106.638,-,40.477.359.478,39790252840.0,687106638.0,,40477359478.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,39.790.252.840,322.519.147,-,40.112.771.987,39790252840.0,322519147.0,,40112771987.0
