row_label_raw,row_label_full,Cá nhân/ Công ty,Địa điểm,Quan hệ,numeric__Địa điểm,numeric__Quan hệ
Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,Việt Nam,Công ty con,,
Công ty TNHH Sài Gòn Ngày mới,Công ty TNHH Sài Gòn Ngày mới,Công ty TNHH Sài Gòn Ngày mới,Việt Nam,Công ty con,,
Công ty CP Tiến Phát Tân Thuận,Công ty CP Tiến Phát Tân Thuận,Công ty CP Tiến Phát Tân Thuận,Việt Nam,Công ty con,,
Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Việt Nam,Công ty con,,
Công ty CP Interhouse LA,Công ty CP Interhouse LA,Công ty CP Interhouse LA,Việt Nam,Công ty con,,
Công ty CP Đầu tư và Năng lượng Tài tạo Hòa Bình,Công ty CP Đầu tư và Năng lượng Tài tạo Hòa Bình,Công ty CP Đầu tư và Năng lượng Tài tạo Hòa Bình,Việt Nam,Công ty con,,
Công ty CP Đầu tư và Phát triển Hòa Yên,Công ty CP Đầu tư và Phát triển Hòa Yên,Công ty CP Đầu tư và Phát triển Hòa Yên,Việt Nam,Công ty con,,
Công ty CP Đầu tư Phát triển Hòa Bình Huế,Công ty CP Đầu tư Phát triển Hòa Bình Huế,Công ty CP Đầu tư Phát triển Hòa Bình Huế,Việt Nam,Công ty con,,
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Việt Nam,Công ty con,,
Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,Việt Nam,Công ty con,,
Công ty TNHH MTV HBIS,Công ty TNHH MTV HBIS,Công ty TNHH MTV HBIS,Việt Nam,Công ty con,,
Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Việt Nam,Công ty con,,
Công ty Cổ Phần Thương Mai Và Đầu Tư Pax,Công ty Cổ Phần Thương Mai Và Đầu Tư Pax,Công ty Cổ Phần Thương Mai Và Đầu Tư Pax,Việt Nam,Công ty con,,
Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Việt Nam,Công ty liên kếtCông ty liên kết đếnngày 25/11/2024,,
Công ty CP Kỹ thuật Jesco Hòa Bình,Công ty CP Kỹ thuật Jesco Hòa Bình,Công ty CP Kỹ thuật Jesco Hòa Bình,Việt Nam,Công ty liên kếtCông ty liên kết đếnngày 25/11/2024,,
Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,Việt Nam,Công ty liên kết,,
Công ty CP Bất động sản Thành Ngân,Công ty CP Bất động sản Thành Ngân,Công ty CP Bất động sản Thành Ngân,Việt Nam,Công ty liên kếtCông ty liên kết đếnngày 25/06/2024,,
Công ty CP Cơ khí và Nhôm kính Anh Việt,Công ty CP Cơ khí và Nhôm kính Anh Việt,Công ty CP Cơ khí và Nhôm kính Anh Việt,Việt Nam,Công ty liên kếtCông ty liên kết đếnngày 25/06/2024,,
Ông Lê Việt Hải,Ông Lê Việt Hải,Ông Lê Việt Hải,Việt Nam,Chú tịch HDQT,,
Bà Bùi Ngọc Mai,Bà Bùi Ngọc Mai,Bà Bùi Ngọc Mai,Việt Nam,Vợ Chủ tịch HDQT,,
Ông Lê Việt Hòa,Ông Lê Việt Hòa,Ông Lê Việt Hòa,Việt Nam,Con Chủ tịch HDQTPhó Chủ tịch HDQT kiểm Phó Tổng Giám đốc thường trực,,
Ông Lê Việt Hiếu,Ông Lê Việt Hiếu,Ông Lê Việt Hiếu,Việt Nam,Con Chủ tịch HDQTPhó Chủ tịch HDQT kiểm Phó Tổng Giám đốc thường trực,,
Ông Nguyễn Tường Bảo,Ông Nguyễn Tường Bảo,Ông Nguyễn Tường Bảo,Việt Nam,Thành viên HDQTThành viên HDQT kiểm Tổng Giám đốc bổ nhiệm ngày 1/06/2023,,
Ông Lê Văn Nam,Ông Lê Văn Nam,Ông Lê Văn Nam,Việt Nam,Thành viên HDQTThành viên HDQT kiểm Tổng Giám đốc bổ nhiệm ngày 1/06/2023,,
Bà Vũ Thị Hòa,Bà Vũ Thị Hòa,Bà Vũ Thị Hòa,Việt Nam,Thành viên HDQT,,
Bà Nguyễn Thị Lượt,Bà Nguyễn Thị Lượt,Bà Nguyễn Thị Lượt,Việt Nam,Phó Chủ tịch HDQTPhó Tổng Giám đốc miễn nhiệm,,
Ông Nguyễn Tấn Thọ,Ông Nguyễn Tấn Thọ,Ông Nguyễn Tấn Thọ,Việt Nam,30/04/2024Phó Tổng Giám đốc miễn nhiệm,,
Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Việt Nam,21/09/2024,,
