row_label_raw,row_label_full,col_0,Số năm,numeric__Số năm
"Nhà xuống, vật kiến trúc","Nhà xuống, vật kiến trúc","Nhà xuống, vật kiến trúc",05 - 50,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",03 - 16,
"Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn",05 - 10,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,05 - 08,
