row_label_raw,row_label_full,col_0,col_1,31/12/2024VND,01/01/2024VND,numeric__col_1,numeric__31/12/2024VND,numeric__01/01/2024VND
5.19,5.19,5.19,Phải trả ngắn hạn khác (tiếp theo),,,,,
,,,Trong đó: số nợ quá hạn chưa thanh toán,,,,,
,,,Tiền đặt cọc của khách hàng mua nhà (i),107.437.324.626,108.587.352.682,,107437324626.0,108587352682.0
,,,Bảo hiểm xã hội,47.311.550.260,35.333.669.317,,47311550260.0,35333669317.0
,,,,154.748.874.886,143.921.021.999,,154748874886.0,143921021999.0
,,,Phải trả ngắn hạn khác với các bên liên quan,,,,,
,,,Bà Bùi Ngoc Mai,152.082.000,-,,152082000.0,
,,,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,2.534.600.000,2.534.600.000,,2534600000.0,2534600000.0
,,,Công ty CP Đầu tư Phát Tiến Hòa Bình Huế,800.000.000,800.000.000,,800000000.0,800000000.0
,,,Công ty TNHH Hòa Bình Myanmar,353.114.410,353.114.410,,353114410.0,353114410.0
,,,,3.839.796.410,3.687.714.410,,3839796410.0,3687714410.0
