row_label_raw,row_label_full,col_0,1/1/2015Theo báo cáotrước dâyVND,Phân loại lạiVND,1/1/2015Đã phân loại lạiVND,numeric__1/1/2015Theo báo cáotrước dâyVND,numeric__Phân loại lạiVND,numeric__1/1/2015Đã phân loại lạiVND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,24.983.782.228,(197.412.500),24.786.369.728,24983782228.0,-197412500.0,24786369728.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,236.183.046.456,(1.369.181.590),234.813.864.866,236183046456.0,-1369181590.0,234813864866.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,14.373.774.444,2.109.110.571,16.482.885.015,14373774444.0,2109110571.0,16482885015.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,81.225.364,2.120.226,83.345.590,81225364.0,2120226.0,83345590.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,2.109.110.571,(2.109.110.571),-,2109110571.0,-2109110571.0,
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,-,197.412.500,197.412.500,,197412500.0,197412500.0
Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,-,1.369.181.590,1.369.181.590,,1369181590.0,1369181590.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,-,180.616.585.387,180.616.585.387,,180616585387.0,180616585387.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,-,10.000.000,10.000.000,,10000000.0,10000000.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,182.144.514.187,(182.144.514.187),-,182144514187.0,-182144514187.0,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,1.527.928.800,1.527.928.800,,1527928800.0,1527928800.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,105.629.509.917,(2.120.226),105.627.389.691,105629509917.0,-2120226.0,105627389691.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,10.000.000,(10.000.000),-,10000000.0,-10000000.0,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,106.975.040.606,3.528.025.318,110.503.065.924,106975040606.0,3528025318.0,110503065924.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,17.037.068.860,(3.528.025.318),13.509.043.542,17037068860.0,-3528025318.0,13509043542.0
