row_label_raw,row_label_full,col_0,Nguyên giá TSCĐ hữu hình VND,Hao mòn lũy kế TSCĐ hữu hình VND,Nợ phải thu VND,Tổng tài sản VND,Nợ phải trả VND,Chi tiêu vốn (*) VND,"Khấu hao TSCĐ hữu hình, vô hình và thuê tài chính VND",numeric__Nguyên giá TSCĐ hữu hình VND,numeric__Hao mòn lũy kế TSCĐ hữu hình VND,numeric__Nợ phải thu VND,numeric__Tổng tài sản VND,numeric__Nợ phải trả VND,numeric__Chi tiêu vốn (*) VND,"numeric__Khấu hao TSCĐ hữu hình, vô hình và thuê tài chính VND"
Nhà máy Bia Dung Quát,Nhà máy Bia Dung Quát,Nhà máy Bia Dung Quát,523.181.712.096,(346.358.488.123),494.794.606,50.125.110.890,50.125.110.890,32.806.121.228,23.625.000.000,523181712096.0,-346358488123.0,494794606.0,50125110890.0,50125110890.0,32806121228.0,23625000000.0
Xí nghiệp cơ giới,Xí nghiệp cơ giới,Xí nghiệp cơ giới,,,,,,,,,,,,,,
Nông nghiệp,Xí nghiệp cơ giới > Nông nghiệp,Nông nghiệp,71.470.746.305,(69.156.317.075),46.316.025,1.522.722.055,1.522.722.055,19.672.029.015,1.104.866.515,71470746305.0,-69156317075.0,46316025.0,1522722055.0,1522722055.0,19672029015.0,1104866515.0
Nhà máy Sửa đậu nành Việt Nam – VINASOY,Xí nghiệp cơ giới > Nhà máy Sửa đậu nành Việt Nam – VINASOY,Nhà máy Sửa đậu nành Việt Nam – VINASOY,682.693.390.932,(473.495.128.939),17.273.693.907,320.981.021.285,320.981.021.285,12.083.901.766,177.836.873.120,682693390932.0,-473495128939.0,17273693907.0,320981021285.0,320981021285.0,12083901766.0,177836873120.0
Nhà máy Đường Phổ Phong,Xí nghiệp cơ giới > Nhà máy Đường Phổ Phong,Nhà máy Đường Phổ Phong,194.650.545.614,(154.291.314.363),32.182.483.270,2.108.629.838,2.108.629.838,10.498.127.884,8.350.000.000,194650545614.0,-154291314363.0,32182483270.0,2108629838.0,2108629838.0,10498127884.0,8350000000.0
Trung tâm môi trường và nước sạch,Xí nghiệp cơ giới > Trung tâm môi trường và nước sạch,Trung tâm môi trường và nước sạch,27.821.032.636,(15.640.791.326),23.044.455,712.206.179,712.206.179,3.120.618.963,1.492.827.205,27821032636.0,-15640791326.0,23044455.0,712206179.0,712206179.0,3120618963.0,1492827205.0
Nhà máy đường An Khê,Xí nghiệp cơ giới > Nhà máy đường An Khê,Nhà máy đường An Khê,1.471.790.356.735,(718.209.191.958),152.738.291.127,44.146.253.268,44.146.253.268,214.806.864.491,97.000.000.000,1471790356735.0,-718209191958.0,152738291127.0,44146253268.0,44146253268.0,214806864491.0,97000000000.0
Nhà máy Bánh kéo BISCAFUN,Xí nghiệp cơ giới > Nhà máy Bánh kéo BISCAFUN,Nhà máy Bánh kéo BISCAFUN,129.615.405.250,(94.192.492.765),9.809.014.086,35.637.965.153,35.637.965.153,11.351.521.408,6.200.000.000,129615405250.0,-94192492765.0,9809014086.0,35637965153.0,35637965153.0,11351521408.0,6200000000.0
Nhà máy nước khoáng Thạch Bích,Xí nghiệp cơ giới > Nhà máy nước khoáng Thạch Bích,Nhà máy nước khoáng Thạch Bích,91.276.421.736,(58.604.556.605),2.118.765.769,19.130.860.266,19.130.860.266,1.629.483.971,5.000.000.000,91276421736.0,-58604556605.0,2118765769.0,19130860266.0,19130860266.0,1629483971.0,5000000000.0
Trung tâm giống mía Quảng Ngãi,Xí nghiệp cơ giới > Trung tâm giống mía Quảng Ngãi,Trung tâm giống mía Quảng Ngãi,1.127.966.964,(1.069.885.961),50.747.500,19.390.192,19.390.192,197.315.712,85.776.435,1127966964.0,-1069885961.0,50747500.0,19390192.0,19390192.0,197315712.0,85776435.0
