row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,979.283.530.000,227.419.225.906,(375.623.002.730),239.374.302.694,655.024.431.274,1.725.478.487.144,979283530000.0,227419225906.0,-375623002730.0,239374302694.0,655024431274.0,1725478487144.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,774.302.092.103,774.302.092.103,,,,,774302092103.0,774302092103.0
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(458.834.315.486),-,-,(458.834.315.486),,,-458834315486.0,,,-458834315486.0
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,-,28.888.000.000,(28.888.000.000),-,,,,28888000000.0,-28888000000.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(14.000.000.000),(14.000.000.000),,,,,-14000000000.0,-14000000000.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),195.849.510.000,-,-,-,(286.281.990.000),(90.432.480.000),195849510000.0,,,,-286281990000.0,-90432480000.0
Tạm ứng cổ tức (Thuyết minh 26),Tạm ứng cổ tức (Thuyết minh 26),Tạm ứng cổ tức (Thuyết minh 26),-,-,-,-,(201.450.888.544),(201.450.888.544),,,,,-201450888544.0,-201450888544.0
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,1.175.133.040.000,227.419.225.906,(834.457.318.216),268.262.302.694,898.705.644.833,1.735.062.895.217,1175133040000.0,227419225906.0,-834457318216.0,268262302694.0,898705644833.0,1735062895217.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.230.065.108.947,1.230.065.108.947,,,,,1230065108947.0,1230065108947.0
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,-,54.210.000.000,(54.210.000.000),-,,,,54210000000.0,-54210000000.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(22.526.000.000),(22.526.000.000),,,,,-22526000000.0,-22526000000.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),235.019.480.000,-,-,-,(333.516.166.000),(98.496.686.000),235019480000.0,,,,-333516166000.0,-98496686000.0
Tạm ứng cổ tức (Thuyết minh 26),Tạm ứng cổ tức (Thuyết minh 26),Tạm ứng cổ tức (Thuyết minh 26),-,-,-,-,(236.390.622.000),(236.390.622.000),,,,,-236390622000.0,-236390622000.0
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,1.410.152.520.000,227.419.225.906,(834.457.318.216),322.472.302.694,1.482.127.965.780,2.607.714.696.164,1410152520000.0,227419225906.0,-834457318216.0,322472302694.0,1482127965780.0,2607714696164.0
