row_label_raw,row_label_full,Trụ sở đăng ký,Số 2 Đường Nguyễn Chí Thanh,numeric__Số 2 Đường Nguyễn Chí Thanh
Trụ sở đăng ký,Trụ sở đăng ký,Trụ sở đăng ký,"Phường Quảng Phú, Thành phố Quảng Ngãi",
Trụ sở đăng ký,Trụ sở đăng ký,Trụ sở đăng ký,"Tỉnh Quảng Ngãi, Việt Nam",
