row_label_raw,row_label_full,col_0,% sở hữu và quyền biểu quyết,% sở hữu và quyền biểu quyết_1,numeric__% sở hữu và quyền biểu quyết,numeric__% sở hữu và quyền biểu quyết_1
,,,31/12/2015,1/1/2015,,
Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,100%,100%,1.0,1.0
