row_label_raw,row_label_full,col_0,31/12/2015 > Khối lượng (Chỉ),31/12/2015 > Giá gốc VND,31/12/2015 > Giá trị ghi sổ VND,1/1/2015 > Khối lượng (Chỉ),1/1/2015 > Giá gốc VND,1/1/2015 > Giá trị ghi sổ VND,numeric__31/12/2015 > Khối lượng (Chỉ),numeric__31/12/2015 > Giá gốc VND,numeric__31/12/2015 > Giá trị ghi sổ VND,numeric__1/1/2015 > Khối lượng (Chỉ),numeric__1/1/2015 > Giá gốc VND,numeric__1/1/2015 > Giá trị ghi sổ VND
Vàng miếng SJC,Vàng miếng SJC,Vàng miếng SJC,4,13.020.000,13.020.000,4,13.980.000,13.980.000,4.0,13020000.0,13020000.0,4.0,13980000.0,13980000.0
Vàng nhân SJC,Vàng nhân SJC,Vàng nhân SJC,-,-,-,16,49.888.000,49.888.000,,,,16.0,49888000.0,49888000.0
SJC 999,SJC 999,SJC 999,12,18.036.000,35.712.000,,,,12.0,18036000.0,35712000.0,,,
,,,,31.056.000,48.732.000,,63.868.000,63.868.000,,31056000.0,48732000.0,,63868000.0,63868000.0
