row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Thiết bị và dụng cụ quản lý VND,Phương tiện vận chuyển VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị và dụng cụ quản lý VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,672.555.136.994,2.463.697.234.367,30.442.803.987,106.312.151.643,3.273.007.326.991,672555136994.0,2463697234367.0,30442803987.0,106312151643.0,3273007326991.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,7.967.652.200,3.778.040.741,12.413.483.469,24.159.176.410,,7967652200.0,3778040741.0,12413483469.0,24159176410.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,59.391.974.126,284.050.589.694,9.938.228.194,6.258.741.818,359.639.533.832,59391974126.0,284050589694.0,9938228194.0,6258741818.0,359639533832.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(2.473.326.109),(10.627.456.074),-,(677.907.669),(13.778.689.852),-2473326109.0,-10627456074.0,,-677907669.0,-13778689852.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,729.473.785.011,2.745.088.020.187,44.159.072.922,124.306.469.261,3.643.027.347.381,729473785011.0,2745088020187.0,44159072922.0,124306469261.0,3643027347381.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,314.227.105.425,1.557.202.332.600,23.094.785.519,96.592.534.744,1.991.116.758.288,314227105425.0,1557202332600.0,23094785519.0,96592534744.0,1991116758288.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,73.908.689.112,173.610.819.384,10.372.118.273,5.141.329.985,263.032.956.754,73908689112.0,173610819384.0,10372118273.0,5141329985.0,263032956754.0
Sử dụng quỹ PT KHCN,Giá trị hao mòn lũy kế > Sử dụng quỹ PT KHCN,Sử dụng quỹ PT KHCN,-,16.156.828.194,-,11.757.963.469,27.914.791.663,,16156828194.0,,11757963469.0,27914791663.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(2.438.083.412),(10.381.052.033),-,(677.907.669),(13.497.043.114),-2438083412.0,-10381052033.0,,-677907669.0,-13497043114.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,385.697.711.125,1.736.588.928.145,33.466.903.792,112.813.920.529,2.268.567.463.591,385697711125.0,1736588928145.0,33466903792.0,112813920529.0,2268567463591.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,358.328.031.569,906.494.901.767,7.348.018.468,9.719.616.899,1.281.890.568.703,358328031569.0,906494901767.0,7348018468.0,9719616899.0,1281890568703.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,343.776.073.886,1.008.499.092.042,10.692.169.130,11.492.548.732,1.374.459.883.790,343776073886.0,1008499092042.0,10692169130.0,11492548732.0,1374459883790.0
