row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VND Đã phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VND Đã phân loại lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),TÀI SẢN > Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),100,,3.240.643.468.759,2.123.539.274.133,100.0,,3240643468759.0,2123539274133.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,6,1.008.800.250.402,391.778.256.443,110.0,6.0,1008800250402.0,391778256443.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,256.800.250.402,385.778.256.443,111.0,,256800250402.0,385778256443.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,752.000.000.000,6.000.000.000,112.0,,752000000000.0,6000000000.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,1.168.000.000.000,925.000.000.000,120.0,,1168000000000.0,925000000000.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,7(a),1.168.000.000.000,925.000.000.000,123.0,,1168000000000.0,925000000000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,701.954.210.162,264.372.596.321,130.0,,701954210162.0,264372596321.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,8,22.359.389.039,24.786.369.728,131.0,8.0,22359389039.0,24786369728.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,657.585.098.415,234.813.864.866,132.0,,657585098415.0,234813864866.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,9,12.954.861.601,-,135.0,9.0,12954861601.0,
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,10,18.614.280.741,16.482.885.015,136.0,10.0,18614280741.0,16482885015.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,11,(9.559.419.634),(11.710.523.288),137.0,11.0,-9559419634.0,-11710523288.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,12,353.690.598.101,542.305.075.779,140.0,12.0,353690598101.0,542305075779.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,353.690.598.101,542.305.075.779,141.0,,353690598101.0,542305075779.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,8.198.410.094,83.345.590,150.0,,8198410094.0,83345590.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,2.136.701.091,83.345.590,151.0,,2136701091.0,83345590.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,6.061.709.003,-,152.0,,6061709003.0,
