row_label_raw,row_label_full,col_0,2014Theo báo cáotrước đâyVND,Phân loại lạiVND,2014Đã phân loại lạiVND,numeric__2014Theo báo cáotrước đâyVND,numeric__Phân loại lạiVND,numeric__2014Đã phân loại lạiVND
Doanh thu bán hàng vàcung cấp dịch vụ,Doanh thu bán hàng vàcung cấp dịch vụ,Doanh thu bán hàng vàcung cấp dịch vụ,6.743.050.122.427,(481.194.555.905),6.261.855.566.522,6743050122427.0,-481194555905.0,6261855566522.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,279.970.415.609,(267.594.137.318),12.376.278.291,279970415609.0,-267594137318.0,12376278291.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,4.469.536.280.346,(45.543.561.410),4.423.992.718.936,4469536280346.0,-45543561410.0,4423992718936.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,853.814.740.095,(168.056.857.177),685.757.882.918,853814740095.0,-168056857177.0,685757882918.0
