row_label_raw,row_label_full,col_0,2015VND,2014VNDĐã phân loại lại,numeric__2015VND,numeric__2014VNDĐã phân loại lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,,
▪ Bán hàng,Doanh thu bán hàng và cung cấp dịch vụ > ▪ Bán hàng,▪ Bán hàng,7.720.056.642.771,6.173.616.729.293,7720056642771.0,6173616729293.0
▪ Cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ > ▪ Cung cấp dịch vụ,▪ Cung cấp dịch vụ,83.983.298.303,88.238.837.229,83983298303.0,88238837229.0
,,,7.804.039.941.074,6.261.855.566.522,7804039941074.0,6261855566522.0
Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,,
▪ Chiết khấu thương mại,Trừ đi các khoản giảm trừ doanh thu > ▪ Chiết khấu thương mại,▪ Chiết khấu thương mại,10.059.280.024,7.824.412.154,10059280024.0,7824412154.0
▪ Giảm giá hàng bán,Trừ đi các khoản giảm trừ doanh thu > ▪ Giảm giá hàng bán,▪ Giảm giá hàng bán,433.144.321,1.590.868.128,433144321.0,1590868128.0
▪ Hàng bán bị trả lại,Trừ đi các khoản giảm trừ doanh thu > ▪ Hàng bán bị trả lại,▪ Hàng bán bị trả lại,8.312.886.206,2.960.998.009,8312886206.0,2960998009.0
,,,18.805.310.551,12.376.278.291,18805310551.0,12376278291.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Trừ đi các khoản giảm trừ doanh thu > Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,7.785.234.630.523,6.249.479.288.231,7785234630523.0,6249479288231.0
